,default,min_abs_bias,min_rmsd,observation
0.5,21.69,22.632,22.007,21.173
1.5,21.69,22.632,22.007,20.456
2.5,21.69,22.481,21.325,19.331
3.5,21.467,20.315,19.397,18.136
4.5,20.636,15.93,17.782,17.502
5.5,20.19,9.818,16.252,16.803
6.5,19.65,6.844,14.905,14.281
7.5,19.24,5.629,13.767,11.634
8.5,18.866,5.082,12.824,9.593
9.5,18.463,4.727,12.047,8.075
10.5,17.972,4.464,11.409,7.364
11.5,17.37,4.282,10.884,7.055
12.5,16.758,4.164,10.451,6.788
13.5,16.208,4.091,10.093,6.555
14.5,15.743,4.048,9.798,6.401
15.5,15.364,4.025,9.555,6.375
16.5,15.058,4.012,9.355,6.314
