,default,min_abs_bias,min_rmsd,observation
0.5,21.632,22.352,22.352,22.404
1.5,21.632,22.352,22.352,22.031
2.5,21.632,22.352,22.352,20.609
3.5,21.632,22.151,22.151,18.95
4.5,21.251,20.741,20.741,16.696
5.5,20.872,15.994,15.994,13.646
6.5,20.537,9.878,9.878,9.198
7.5,20.082,7.521,7.521,7.141
8.5,19.549,6.364,6.364,6.121
9.5,19.016,5.717,5.717,5.865
10.5,18.407,5.327,5.327,5.745
11.5,17.692,5.032,5.032,5.672
12.5,16.978,4.799,4.799,5.567
13.5,16.335,4.625,4.625,5.476
14.5,15.788,4.498,4.498,5.429
15.5,15.333,4.407,4.407,5.348
16.5,14.959,4.342,4.342,5.317
17.5,14.653,4.296,4.296,5.303
18.5,14.402,4.264,4.264,5.305
19.5,14.199,4.241,4.241,5.304
20.5,14.034,4.226,4.226,5.307
