,default,min_abs_bias,min_rmsd,observation
0.5,17.844,19.365,16.23,14.981
1.5,17.509,18.88,15.921,13.94
2.5,16.908,18.373,15.415,13.751
3.5,16.686,17.962,15.172,13.713
4.5,16.293,11.767,14.785,13.698
5.5,15.495,8.721,14.48,13.685
6.5,13.369,7.309,13.77,13.6
7.5,11.964,6.517,13.079,13.461
8.5,10.903,6.032,12.482,13.369
9.5,10.08,5.715,11.943,13.296
10.5,9.427,5.469,11.457,13.226
11.5,8.9,5.262,11.02,13.166
12.5,8.466,5.088,10.624,13.133
13.5,8.105,4.946,10.267,13.011
14.5,7.801,4.831,9.943,12.558
15.5,7.542,4.739,9.648,11.848
16.5,7.319,4.666,9.38,10.997
17.5,7.125,4.61,9.135,10.156
18.5,6.956,4.568,8.91,9.077
19.5,6.8,4.535,8.704,8.169
20.5,6.652,4.511,8.515,7.473
21.5,6.512,4.493,8.34,6.883
22.5,6.38,4.481,8.179,6.361
23.5,6.255,4.471,8.029,6.121
24.5,6.137,4.465,7.89,6.019
25.5,6.026,4.46,7.761,5.97
26.5,5.922,4.457,7.637,5.912
27.5,5.824,4.455,7.516,5.856
28.5,5.732,4.454,7.398,5.834
29.5,5.646,4.453,7.284,5.827
30.5,5.565,4.452,7.173,5.772
31.5,5.489,4.452,7.066,5.71
32.5,5.419,4.451,6.961,5.66
33.5,5.353,4.451,6.861,5.593
34.5,5.291,4.451,6.763,5.574
35.5,5.234,4.451,6.669,5.534
36.5,5.181,4.451,6.578,5.524
37.5,5.131,4.451,6.49,5.532
38.5,5.084,4.451,6.405,5.533
39.5,5.041,4.451,6.323,5.503
40.5,5.001,4.451,6.244,5.42
41.5,4.964,4.451,6.168,5.382
42.5,4.929,4.451,6.095,5.345
