,default,min_abs_bias,min_rmsd,observation
0.5,19.709,20.532,20.532,17.862
1.5,19.534,19.819,19.819,16.045
2.5,18.677,18.873,18.873,15.252
3.5,18.364,18.557,18.557,13.96
4.5,18.195,17.047,17.047,12.739
5.5,18.088,10.808,10.808,11.243
6.5,18.006,8.735,8.735,10.532
7.5,17.922,7.26,7.26,9.691
8.5,17.802,6.155,6.155,8.882
9.5,17.547,5.479,5.479,8.315
10.5,16.747,5.083,5.083,7.913
11.5,15.797,4.769,4.769,7.623
12.5,15.121,4.522,4.522,7.42
13.5,14.612,4.34,4.34,7.276
14.5,14.223,4.213,4.213,7.2
15.5,13.922,4.128,4.128,7.185
16.5,13.689,4.074,4.074,7.139
