,default,min_abs_bias,min_rmsd,observation
0.5,20.547,21.61,21.61,20.137
1.5,20.547,21.61,21.61,19.064
2.5,20.547,21.487,21.487,18.922
3.5,20.421,20.631,20.631,18.506
4.5,19.449,20.225,20.225,17.621
5.5,19.094,17.906,17.906,15.939
6.5,18.679,12.947,12.947,12.889
7.5,18.127,10.193,10.193,11.106
8.5,17.043,8.174,8.174,9.982
9.5,15.854,6.843,6.843,9.266
10.5,14.855,6.024,6.024,8.837
11.5,14.035,5.515,5.515,8.486
12.5,13.364,5.181,5.181,8.113
13.5,12.813,4.898,4.898,7.538
14.5,12.354,4.666,4.666,7.12
15.5,11.97,4.483,4.483,6.889
16.5,11.644,4.342,4.342,6.644
17.5,11.366,4.236,4.236,6.483
18.5,11.126,4.16,4.16,6.391
19.5,10.919,4.106,4.106,6.268
20.5,10.738,4.069,4.069,6.189
21.5,10.58,4.044,4.044,6.108
22.5,10.441,4.028,4.028,6.052
23.5,10.319,4.017,4.017,5.997
24.5,10.21,4.011,4.011,5.958
25.5,10.114,4.007,4.007,5.917
26.5,10.028,4.004,4.004,5.893
27.5,9.95,4.002,4.002,5.838
