,default,min_abs_bias,min_rmsd,observation
0.5,20.53,21.513,21.513,22.193
1.5,20.53,21.513,21.513,20.389
2.5,20.53,20.9,20.9,18.954
3.5,20.178,19.81,19.81,18.641
4.5,19.348,19.41,19.41,18.399
5.5,19.122,16.324,16.324,17.461
6.5,18.966,12.422,12.422,15.384
7.5,18.848,11.042,11.042,13.821
8.5,18.726,10.168,10.168,12.82
9.5,18.563,9.257,9.257,11.944
10.5,18.295,8.109,8.109,10.35
11.5,17.747,6.878,6.878,9.377
12.5,16.999,5.963,5.963,8.413
13.5,16.359,5.397,5.397,7.366
14.5,15.823,5.04,5.04,6.832
15.5,15.378,4.746,4.746,6.498
16.5,15.009,4.515,4.515,6.339
17.5,14.702,4.342,4.342,6.185
18.5,14.444,4.219,4.219,6.088
19.5,14.228,4.135,4.135,6.035
20.5,14.047,4.08,4.08,6.001
