,default,min_abs_bias,min_rmsd,observation
0.5,18.382,18.152,18.444,17.201
1.5,18.382,18.152,18.444,17.091
2.5,18.382,18.152,18.444,17.035
3.5,18.382,18.152,18.444,16.987
4.5,18.382,18.152,18.444,16.857
5.5,18.382,18.152,18.444,16.727
6.5,18.382,18.152,18.444,16.635
7.5,18.382,17.064,18.444,16.399
8.5,18.382,13.428,18.444,15.591
9.5,18.382,11.58,18.444,14.877
10.5,18.382,10.17,18.444,14.616
11.5,18.382,9.042,18.444,13.588
12.5,18.382,8.144,13.845,12.819
13.5,18.382,7.439,11.779,12.39
14.5,18.382,6.891,11.116,10.628
15.5,16.676,6.464,10.718,8.026
16.5,15.934,6.129,10.447,7.486
17.5,15.466,5.865,10.247,7.398
