,default,min_abs_bias,min_rmsd,observation
0.5,17.064,17.405,17.405,16.983
1.5,17.064,17.405,17.405,16.983
2.5,17.064,17.405,17.405,16.972
3.5,17.064,17.405,17.405,16.897
4.5,17.064,17.405,17.405,16.674
5.5,17.064,17.405,17.405,16.587
6.5,17.064,17.405,17.405,16.509
7.5,17.064,17.405,17.405,16.44
8.5,16.579,14.291,14.291,16.33
9.5,14.613,12.798,12.798,14.971
10.5,13.791,11.666,11.666,12.401
11.5,13.065,10.796,10.796,11.147
12.5,12.428,10.128,10.128,10.362
13.5,11.874,9.608,9.608,9.706
14.5,11.394,9.198,9.198,9.197
15.5,10.979,8.868,8.868,8.492
16.5,10.62,8.598,8.598,8.042
17.5,10.308,8.374,8.374,7.706
18.5,10.037,8.185,8.185,7.444
19.5,9.799,8.024,8.024,7.338
20.5,9.59,7.886,7.886,7.205
21.5,9.406,7.764,7.764,7.057
22.5,9.242,7.649,7.649,6.978
23.5,9.097,7.542,7.542,6.899
24.5,8.966,7.443,7.443,6.839
25.5,8.85,7.351,7.351,6.78
26.5,8.745,7.266,7.266,6.705
27.5,8.646,7.187,7.187,6.639
28.5,8.553,7.115,7.115,6.602
29.5,8.465,7.048,7.048,6.563
30.5,8.382,6.987,6.987,6.529
31.5,8.303,6.931,6.931,6.508
32.5,8.23,6.88,6.88,6.49
33.5,8.161,6.834,6.834,6.47
34.5,8.096,6.792,6.792,6.447
35.5,8.037,6.755,6.755,6.437
36.5,7.981,6.721,6.721,6.422
37.5,7.93,6.69,6.69,6.412
38.5,7.884,6.663,6.663,6.391
39.5,7.842,6.639,6.639,6.364
40.5,7.804,6.618,6.618,6.343
41.5,7.77,6.6,6.6,6.317
