,default,min_abs_bias,min_rmsd,observation
0.5,16.78,16.588,16.444,16.053
1.5,16.78,16.588,16.444,16.038
2.5,16.78,16.588,16.444,15.992
3.5,16.78,16.588,16.444,15.929
4.5,16.78,16.588,16.444,15.821
5.5,16.78,16.588,16.444,15.753
6.5,16.78,16.588,16.444,15.691
7.5,16.78,16.588,15.495,15.613
8.5,15.784,16.588,14.808,15.453
9.5,14.131,15.172,14.135,14.939
10.5,13.194,14.246,13.485,14.466
11.5,12.392,13.56,12.873,13.83
12.5,11.699,12.946,12.31,11.403
13.5,11.099,12.396,11.797,9.111
14.5,10.578,11.903,11.334,8.363
15.5,10.126,11.461,10.916,7.901
16.5,9.733,11.067,10.541,7.337
17.5,9.389,10.714,10.204,6.93
18.5,9.088,10.398,9.901,6.675
19.5,8.823,10.115,9.628,6.433
20.5,8.59,9.861,9.383,6.096
21.5,8.382,9.633,9.162,5.837
22.5,8.198,9.428,8.962,5.628
23.5,8.033,9.243,8.781,5.505
24.5,7.885,9.075,8.617,5.337
25.5,7.751,8.924,8.468,5.195
26.5,7.627,8.787,8.332,5.086
27.5,7.508,8.662,8.209,5.016
28.5,7.395,8.549,8.095,4.996
29.5,7.287,8.444,7.985,4.926
30.5,7.185,8.344,7.881,4.903
31.5,7.088,8.248,7.781,4.885
