,default,min_abs_bias,min_rmsd,observation
0.5,19.595,20.653,20.653,19.66
1.5,19.595,20.653,20.653,21.817
2.5,19.595,20.653,20.653,21.221
3.5,19.595,20.653,20.653,20.88
4.5,19.595,20.653,20.653,20.355
5.5,19.595,20.298,20.298,19.415
6.5,19.595,19.396,19.396,17.917
7.5,19.23,14.907,14.907,15.276
8.5,18.987,10.969,10.969,12.437
9.5,18.858,9.496,9.496,10.627
10.5,18.678,8.335,8.335,9.302
11.5,18.305,7.319,7.319,8.156
12.5,17.672,6.558,6.558,7.133
13.5,16.728,6.043,6.043,6.419
14.5,15.607,5.704,5.704,5.943
15.5,14.511,5.452,5.452,5.695
16.5,13.618,5.244,5.244,5.568
17.5,12.922,5.075,5.075,5.413
18.5,12.382,4.943,4.943,5.306
19.5,11.956,4.841,4.841,5.222
20.5,11.614,4.763,4.763,5.169
21.5,11.333,4.705,4.705,5.118
22.5,11.099,4.662,4.662,5.05
23.5,10.901,4.631,4.631,4.969
24.5,10.731,4.608,4.608,4.921
25.5,10.584,4.591,4.591,4.884
26.5,10.456,4.579,4.579,4.875
27.5,10.343,4.571,4.571,4.866
28.5,10.244,4.565,4.565,4.816
29.5,10.155,4.561,4.561,4.76
30.5,10.075,4.559,4.559,4.732
31.5,10.0,4.557,4.557,4.742
