,default,min_abs_bias,min_rmsd,observation
0.5,21.392,22.086,22.086,22.218
1.5,21.392,22.086,22.086,21.941
2.5,21.392,22.086,22.086,21.405
3.5,21.392,22.086,22.086,19.86
4.5,21.392,19.619,19.619,17.114
5.5,21.35,12.208,12.208,13.51
6.5,20.271,8.744,8.744,11.125
7.5,19.713,6.952,6.952,10.438
8.5,19.055,6.001,6.001,10.086
9.5,18.34,5.462,5.462,9.819
10.5,17.606,5.121,5.121,9.654
11.5,16.911,4.837,4.837,9.457
12.5,16.29,4.608,4.608,9.226
13.5,15.754,4.43,4.43,8.929
14.5,15.301,4.297,4.297,8.68
15.5,14.921,4.199,4.199,8.474
16.5,14.605,4.13,4.13,8.341
