,default,min_abs_bias,min_rmsd,observation
0.5,17.968,19.003,18.473,14.922
1.5,17.968,19.003,18.473,14.765
2.5,17.968,18.931,18.212,14.696
3.5,17.731,18.623,17.256,14.645
4.5,17.234,13.929,15.851,14.537
5.5,16.514,10.981,14.145,14.389
6.5,15.665,9.108,12.529,14.182
7.5,14.608,7.784,11.152,13.921
8.5,13.562,6.826,10.029,13.407
9.5,12.621,6.129,9.129,12.305
10.5,11.81,5.621,8.41,9.696
11.5,11.12,5.251,7.833,8.677
12.5,10.538,4.945,7.368,8.216
13.5,10.044,4.703,6.989,7.602
14.5,9.624,4.519,6.677,6.978
15.5,9.265,4.382,6.418,6.393
16.5,8.957,4.28,6.2,5.897
17.5,8.691,4.206,6.0,5.533
18.5,8.46,4.151,5.812,5.334
19.5,8.259,4.111,5.638,5.175
20.5,8.082,4.082,5.476,5.047
21.5,7.928,4.06,5.327,4.936
22.5,7.791,4.044,5.19,4.84
23.5,7.667,4.033,5.066,4.817
24.5,7.55,4.024,4.953,4.809
