,default,min_abs_bias,min_rmsd,observation
0.5,20.207,20.084,20.555,19.41
1.5,20.207,20.084,20.555,18.761
2.5,20.207,20.084,20.555,17.554
3.5,20.034,20.016,20.249,17.155
4.5,19.005,19.556,18.52,16.896
5.5,18.498,19.058,18.266,16.591
6.5,18.225,18.851,18.107,16.324
7.5,18.01,18.702,17.94,16.039
8.5,17.793,18.593,17.334,15.599
9.5,17.517,18.51,12.842,14.485
10.5,17.106,18.444,10.855,13.277
11.5,16.458,18.39,10.21,12.174
12.5,15.781,18.343,9.884,11.355
13.5,15.208,18.301,9.673,11.065
14.5,14.752,18.262,9.517,10.755
15.5,14.395,18.226,9.397,10.581
16.5,14.119,18.19,9.304,10.596
