,default,min_abs_bias,min_rmsd,observation
0.5,20.728,22.232,21.627,19.348
1.5,20.728,22.232,21.627,17.566
2.5,20.728,20.988,19.664,16.948
3.5,20.067,16.354,16.629,15.855
4.5,18.864,7.788,13.814,13.966
5.5,18.363,5.713,11.658,11.396
6.5,17.761,4.972,10.105,8.531
7.5,16.788,4.569,8.991,7.204
8.5,15.671,4.306,8.178,6.574
9.5,14.704,4.153,7.57,6.377
10.5,13.905,4.073,7.104,6.318
11.5,13.251,4.033,6.739,6.251
12.5,12.713,4.014,6.446,6.154
13.5,12.265,4.006,6.207,6.008
14.5,11.889,4.003,5.999,5.772
15.5,11.571,4.001,5.805,5.544
16.5,11.299,4.0,5.624,5.405
17.5,11.065,4.0,5.457,5.334
18.5,10.863,4.0,5.304,5.239
19.5,10.688,4.0,5.164,5.148
20.5,10.535,4.0,5.036,5.095
21.5,10.402,4.0,4.921,5.051
22.5,10.286,4.0,4.816,5.102
23.5,10.185,4.0,4.723,5.074
