,default,min_abs_bias,min_rmsd,observation
0.5,16.978,18.019,17.35,17.801
1.5,16.978,18.019,17.35,17.782
2.5,16.978,18.019,17.35,17.745
3.5,16.978,18.019,17.35,17.688
4.5,16.978,18.019,17.35,17.089
5.5,16.978,18.019,17.189,15.65
6.5,16.978,14.583,14.619,14.415
7.5,16.978,11.633,13.289,12.63
8.5,16.978,9.463,12.231,11.157
9.5,16.978,7.246,11.364,10.478
10.5,16.978,6.235,10.643,9.962
11.5,16.978,5.763,10.038,8.849
12.5,16.978,5.502,9.528,7.65
13.5,15.05,5.317,9.093,7.238
14.5,14.059,5.193,8.72,6.988
15.5,13.57,5.113,8.399,6.728
16.5,13.178,5.062,8.12,6.426
17.5,12.849,5.029,7.876,6.291
18.5,12.568,5.005,7.662,6.219
19.5,12.326,4.984,7.473,6.068
20.5,12.117,4.962,7.306,5.989
21.5,11.938,4.937,7.156,5.941
22.5,11.783,4.908,7.015,5.891
23.5,11.65,4.875,6.88,5.842
24.5,11.534,4.84,6.752,5.831
25.5,11.434,4.805,6.63,5.845
26.5,11.347,4.771,6.516,5.803
27.5,11.272,4.741,6.407,5.803
28.5,11.204,4.716,6.306,5.815
29.5,11.141,4.696,6.21,5.799
