id,lakename,p1_default,p2_default,p1_min_rmsd,p2_min_rmsd,p1_min_abs_bias,p2_min_abs_bias,min_rmsd,min_abs_bias
214,Harasjøen,0.0153016839176,0.696993172169,0.0015301683452,0.174248293042,0.0015301683452,0.174248293042,2.57755041122,2.52466654778
10000,Hurdalsjøen,0.0498618260026,0.999946892262,0.00498618278652,0.999986708164,0.00498618278652,0.249986723065,2.41865086555,1.281722188
10001,Harestuvatnet,0.0103499246761,0.447885602713,0.0206998493522,0.111971400678,0.00103499251418,0.111971400678,2.91881465912,1.46141672134
394,Vatsvatnet,0.0108948722482,0.478476017714,0.0217897444963,0.119619004428,0.00108948722482,0.119619004428,0.658062338829,0.0967647060752
191,Rødbyvatnet,0.00767186889425,0.293901115656,0.000767186866142,0.073475278914,0.000767186866142,0.073475278914,3.31060409546,2.09655547142
3017,Sør-Ælgen,0.0328108333051,0.990552425385,0.00328108342364,0.247638106346,0.00328108342364,0.247638106346,2.08336257935,1.34148383141
258,Gjønvatnet,0.0127910878509,0.579789698124,0.00127910880838,0.144947424531,0.00127910880838,0.144947424531,2.58852934837,1.31016671658
2870,Visten,0.0491945035756,0.99993288517,0.00491945026442,0.249983221292,0.00491945026442,0.249983221292,3.12960672379,2.77489995956
498,Dagarn,0.00940862018615,0.394075572491,0.000940861995332,0.0985188931227,0.000940861995332,0.0985188931227,1.34458422661,0.937399983406
3189,Dragsjøn,0.00865939818323,0.35079061985,0.000865939771757,0.0876976549625,0.000865939771757,0.0876976549625,2.89801192284,2.77999997139
395,Vostervatnet,0.012210640125,0.549771487713,0.0012210640125,0.137442871928,0.0012210640125,0.137442871928,1.28564417362,0.127267852426
277,Engsetdalsvatnet/Fyllingsvatnet,0.0161859504879,0.732864677906,0.00161859497894,0.933216154575,0.0323719009757,0.933216154575,9.7437171936,9.74366664886
252,Vermundsjøen,0.0138708390296,0.632855594158,0.00138708390296,0.15821389854,0.00138708390296,0.15821389854,3.70756387711,0.830916643143
339,Ringsjøen,0.00789162050933,0.306497186422,0.0157832410187,0.0766242966056,0.000789162062574,0.0766242966056,2.29028511047,0.129166662693
236,Rokossjøen,0.0148441679776,0.677289605141,0.00148441677447,0.169322401285,0.00148441677447,0.169322401285,3.91049909592,0.990625023842
3165,Bæsingen,0.0293561834842,0.978116035461,0.0587123669684,0.244529008865,0.00293561816216,0.244529008865,1.14416134357,1.08299994469
3160,Skattungen,0.0372583903372,0.997120082378,0.00372583908029,0.999280035496,0.0745167806745,0.999280035496,2.37429428101,1.75653851032
170,Gjersjøen,0.0121591407806,0.547061979771,0.00121591414791,0.136765494943,0.00121591414791,0.136765494943,2.04799723625,1.26805257797
3384,Hinsen,0.02825602144,0.971844136715,0.00282560195774,0.242961034179,0.00282560195774,0.242961034179,1.52625465393,0.838444471359
2887,Tisjøn,0.0447526089847,0.999700963497,0.00447526108474,0.999925255775,0.0895052179694,0.999925255775,1.87055373192,0.30270588398
3029,Ørlingen,0.00852386187762,0.342953175306,0.00085238617612,0.0857382938266,0.00085238617612,0.0857382938266,1.2767239809,0.166444450617
345,Trevatna,0.016994163394,0.763072252274,0.00169941631611,0.190768063068,0.00169941631611,0.190768063068,3.06610369682,0.699000000954
3027,Nætsjøn,0.0128652760759,0.583554625511,0.00128652760759,0.145888656378,0.00128652760759,0.145888656378,1.46304559708,0.144999995828
3106,Långbjørken,0.00940862018615,0.394075572491,0.000940861995332,0.0985188931227,0.000940861995332,0.0985188931227,1.17688751221,1.13575005531
3516,Holmsjøn,0.0636433511972,0.999999761581,0.00636433484033,0.249999940395,0.00636433484033,0.249999940395,1.67896413803,1.61471426487
3020,Ljusnaren,0.0250539723784,0.94386523962,0.00250539719127,0.235966309905,0.00250539719127,0.235966309905,3.47764110565,2.43088245392
344,Strondavatnet,0.0301478486508,0.981830298901,0.0602956973016,0.245457574725,0.0602956973016,0.995457589626,2.46763777733,0.982906222343
288,Vatnevatnet,0.0105532659218,0.459359109402,0.00105532654561,0.11483977735,0.00105532654561,0.11483977735,2.43412852287,0.638119995594
180,Øgderen,0.0292528085411,0.977584421635,0.00292528094724,0.244396105409,0.00292528094724,0.244396105409,1.72309052944,0.763111114502
404,Jølstravatnet,0.0551257990301,0.999992311001,0.00551258027554,0.24999807775,0.00551258027554,0.24999807775,3.36867070198,0.723380923271
340,Sæbuvatnet,0.00895843002945,0.36808475852,0.0179168600589,0.842021167278,0.000895842968021,0.09202118963,1.38411486149,0.464647054672
3025,Halvarsnoren,0.0343663394451,0.993679761887,0.00343663385138,0.998419940472,0.0687326788902,0.998419940472,2.70390725136,2.21704173088
353,Aspern,0.0202946010977,0.861515939236,0.00202946015634,0.215378984809,0.00202946015634,0.215378984809,2.01054167747,1.41461908817
189,Krøderen,0.058700285852,0.999998092651,0.00587002886459,0.999999523163,0.117400571704,0.999999523163,4.48804807663,1.55615389347
285,Rotevatnet,0.00852386187762,0.342953175306,0.00085238617612,0.0857382938266,0.00085238617612,0.0857382938266,2.72029185295,2.09088230133
349,Bogstadvannet,0.00740906735882,0.278916269541,0.0148181347176,0.0697290673852,0.000740906747524,0.0697290673852,3.913875103,0.170000001788
374,Edlandsvatnet,0.0107251377776,0.469003587961,0.00107251375448,0.11725089699,0.00107251375448,0.11725089699,0.791645884514,0.78683334589
5000,Forssjøn,0.0100238835439,0.429361850023,0.0200477670878,0.107340462506,0.00100238830782,0.107340462506,0.853834331036,0.722500026226
2875,Næsræmmen,0.0123895574361,0.559127688408,0.00123895576689,0.139781922102,0.00123895576689,0.139781922102,3.10159754753,0.580333352089
