,default,min_abs_bias,min_rmsd,observation
0.5,21.075,22.058,22.058,21.584
1.5,21.075,22.058,22.058,20.988
2.5,21.075,22.058,22.058,19.967
3.5,21.075,21.904,21.904,19.308
4.5,20.484,20.451,20.451,18.255
5.5,19.702,17.781,17.781,16.301
6.5,18.998,12.543,12.543,13.969
7.5,18.144,9.83,9.83,12.096
8.5,17.218,8.037,8.037,10.938
9.5,16.208,6.841,6.841,9.82
10.5,15.229,6.074,6.074,8.949
11.5,14.356,5.581,5.581,8.569
12.5,13.61,5.254,5.254,7.955
13.5,12.983,4.975,4.975,7.523
14.5,12.457,4.741,4.741,7.345
15.5,12.015,4.551,4.551,7.208
16.5,11.639,4.401,4.401,6.891
17.5,11.319,4.285,4.285,6.624
18.5,11.043,4.199,4.199,6.426
19.5,10.805,4.135,4.135,6.213
20.5,10.596,4.09,4.09,5.994
21.5,10.414,4.059,4.059,5.765
22.5,10.253,4.038,4.038,5.631
23.5,10.111,4.024,4.024,5.556
24.5,9.985,4.015,4.015,5.511
25.5,9.873,4.009,4.009,5.433
26.5,9.773,4.005,4.005,5.4
27.5,9.683,4.003,4.003,5.384
28.5,9.6,4.002,4.002,5.356
29.5,9.521,4.001,4.001,5.338
30.5,9.448,4.001,4.001,5.293
