,default,min_abs_bias,min_rmsd,observation
0.5,19.505,19.763,19.355,18.906
1.5,19.505,19.763,19.355,18.506
2.5,19.505,19.763,19.339,17.569
3.5,19.505,19.601,19.035,17.093
4.5,19.505,17.886,18.336,16.681
5.5,19.505,11.953,16.831,16.361
6.5,19.505,10.259,15.589,16.156
7.5,19.493,8.598,14.554,15.018
8.5,19.387,6.888,13.703,12.513
9.5,19.385,5.877,13.004,11.399
10.5,19.383,5.349,12.43,10.927
11.5,19.38,5.021,11.957,10.636
12.5,19.377,4.771,11.569,10.484
13.5,19.37,4.593,11.252,10.34
14.5,19.357,4.472,10.993,10.295
