,default,min_abs_bias,min_rmsd,observation
0.5,20.755,21.467,21.467,21.183
1.5,20.755,21.467,21.467,20.931
2.5,20.755,20.981,20.981,20.136
3.5,20.52,20.135,20.135,18.922
4.5,19.862,19.816,19.816,18.516
5.5,19.651,19.113,19.113,18.332
6.5,19.538,13.777,13.777,17.934
7.5,19.46,11.959,11.959,15.748
8.5,19.387,11.101,11.101,13.588
9.5,19.317,10.531,10.531,12.811
10.5,19.247,9.994,9.994,12.18
11.5,19.157,9.341,9.341,11.628
12.5,19.019,8.489,8.489,10.973
13.5,18.775,7.497,7.497,10.374
14.5,18.259,6.605,6.605,9.955
15.5,17.789,5.958,5.958,9.689
16.5,17.391,5.522,5.522,9.654
17.5,17.067,5.209,5.209,9.564
