,default,min_abs_bias,min_rmsd,observation
0.5,15.702,15.83,15.83,16.285
1.5,15.702,15.83,15.83,16.259
2.5,15.702,15.83,15.83,16.236
3.5,15.702,15.83,15.83,16.212
4.5,15.702,15.83,15.83,15.888
5.5,15.702,15.83,15.83,14.505
6.5,15.702,15.83,15.83,12.324
7.5,15.702,15.159,15.159,9.643
8.5,15.702,11.597,11.597,8.483
9.5,15.702,10.716,10.716,7.738
10.5,15.702,10.172,10.172,7.201
11.5,15.702,9.787,9.787,6.731
12.5,15.702,9.485,9.485,6.409
13.5,15.702,9.239,9.239,6.242
14.5,15.702,9.069,9.069,6.097
15.5,15.702,8.961,8.961,6.059
16.5,15.702,8.884,8.884,6.022
