,id170,id180,id189,id191,id214,id233,id236,id242,id252,id258,id261,id264,id277,id285,id288,id326,id328,id339,id340,id344,id345,id349,id353,id361,id363,id374,id378,id380,id394,id395,id404,id405,id433,id436,id453,id481,id482,id486,id487,id498,id519,id2252,id2268,id2312,id2374,id2678,id2870,id2872,id2875,id2878,id2887,id2888,id2899,id3017,id3019,id3020,id3025,id3027,id3029,id3031,id3106,id3160,id3165,id3167,id3185,id3189,id3201,id3220,id3384,id3397,id3399,id3516,id3541,id5000,id10000,id10001
2011-01-01,5.54021025,4.79839611,5.44070959,5.92782021,4.91579676,5.22947359,3.72803807,5.92144918,4.04324293,3.94622993,6.69515991,4.77444029,4.9446187,6.70232534,3.90608692,5.17711544,5.20305014,5.31209803,4.70373917,4.70373917,5.03156519,5.51752043,4.87944174,4.5365448,5.11119938,6.38303614,6.28861666,7.64693403,7.02306414,7.910221099999999,4.21945286,2.7719872000000003,4.76762009,6.76788855,5.91413069,5.35764933,5.15046835,5.35764933,7.51187325,5.75589943,5.16888762,4.56213331,5.13211203,4.31335878,6.53665972,5.68331099,5.44993639,5.29500914,4.94167757,4.56652117,5.39813423,5.27517891,4.63204908,5.7246604,5.26651859,5.41338396,5.92027617,5.33636618,5.33636618,6.07415581,5.46379805,5.24634647,5.46206045,6.15319014,4.99870729,5.91513252,4.86019611,5.68184805,5.20035934,4.53150749,5.46558619,5.54938507,4.54707861,6.0855298,6.57190371,5.58730745
2011-01-02,4.26320505,3.56820703,3.79439378,4.81680441,3.8524877999999996,4.20446825,2.74947,3.93505025,2.90046525,2.00147033,3.1701107000000004,2.54259062,2.55338693,3.72377396,2.20300889,3.63784003,3.7447536,3.8523562000000005,2.96573639,2.96573639,3.54383779,4.48998308,3.40619206,3.2942275999999997,3.80012679,3.29102683,2.9624002000000003,3.78565717,3.61499095,4.11329699,2.63094521,1.79628265,2.97846532,4.10705233,3.83339334,4.12577295,4.06276751,4.12577295,6.026500700000001,3.70795798,3.52646732,3.23300362,3.23950076,3.13494277,3.35053921,3.85155463,4.00759697,3.88337159,3.35370708,3.4741869,4.267090799999999,4.15649462,3.13611722,3.75545025,3.26081395,3.66082406,3.94389534,3.67792916,3.67792916,4.19933271,3.14338303,3.89653873,3.54563451,4.25538778,3.87064552,4.6721406,3.36144638,3.80109787,3.81234145,3.77190304,4.33523273,5.10433912,4.23828268,3.07969308,5.59721565,4.45279598
2011-01-03,1.9317683,1.66569948,1.17508447,2.05180693,1.71332943,0.96674562,1.501984,1.59255981,1.09186554,2.26140523,3.2944231,1.69775951,2.87927938,3.75228763,2.27894998,2.05219603,2.03481889,1.91542423,1.92601407,1.92601407,2.00514102,1.97223675,2.29827952,1.6462691999999999,1.92662609,1.84745216,2.86236262,2.65803838,2.70748353,3.25711608,2.39355063,1.60402787,2.16392493,4.36822939,4.1303854,2.11727166,1.98237288,2.11727166,4.06533957,2.46436596,2.55634737,1.11229551,0.769355,1.78113711,2.60115981,2.56612039,1.9129956999999997,2.4461906000000004,1.85066044,1.4286536,1.73789597,1.71184862,1.46497643,2.5999372000000003,2.1206553,2.14029384,2.72412372,2.24866319,2.24866319,2.77871537,1.97711229,1.9899087,2.43399882,2.61031079,1.88812768,2.72684646,1.80812824,2.51893401,2.34183025,2.12006974,2.16860795,2.22899365,2.10103106,2.39217114,2.44853711,2.14544153
2011-01-04,2.38468242,2.30253053,1.1890322,1.81328487,1.99699688,2.77656937,2.34210706,2.30558634,2.83757949,2.38862872,4.62126875,1.77512085,1.6560235,3.98795128,2.59445262,2.05641627,1.94235408,1.79080498,2.05327916,2.05327916,1.97810209,2.15898252,2.48506856,1.61493874,2.38785481,3.71192288,4.64858675,4.64516354,4.41087484,5.43971109,2.63022709,1.52807081,1.12899947,1.61691511,1.19779861,1.68423784,1.34271419,1.68423784,2.45121193,2.0550251,1.65285313,2.87872291,2.25641513,2.67186189,2.23896003,2.73873878,2.84228802,2.25223207,2.67594409,2.51125455,3.46580505,2.38867617,2.56741261,2.74951673,2.58651352,2.41150498,3.01445508,2.7124815,2.7124815,3.22570229,2.02963257,1.96568358,2.00621486,2.85361314,2.88246059,2.69559002,2.62934399,2.27322125,2.35490322,1.03765559,2.10184956,2.35294151,2.32881331,1.93732655,1.8557924,1.86873567
2011-01-05,4.10854244,3.42012119,1.9247246999999998,3.55624008,2.71085167,3.19979358,2.54949999,2.96223831,3.22363758,2.92823386,5.00959826,3.48540282,3.61726689,4.93569326,2.8528471,3.04975319,2.40281034,2.03268337,2.25364375,2.25364375,2.73948932,3.47127175,3.40748525,2.9743730999999998,3.27147961,5.67631865,5.96061707,6.30202866,5.67376661,6.91815424,3.66085362,2.56203389,2.29039979,3.12218833,2.38991404,3.90770078,2.57692933,3.90770078,6.01870775,2.0995276,3.30026937,3.41878057,3.45181179,3.55168653,2.38628769,3.45277953,3.47546029,3.49098897,2.80634403,2.84097028,3.65964985,2.76329303,3.00694013,2.68527198,2.48130631,2.37229991,2.96080804,2.68675637,2.68675637,3.17795181,2.1163919,2.45234776,2.42406201,3.41291356,3.06642556,2.90531158,2.78838468,2.32059479,2.88194966,3.03096652,3.39246535,4.56189203,4.37799597,2.27559066,2.70995617,2.90858555
2011-01-06,3.62331009,3.78659463,2.45182776,4.12071657,3.64192224,3.64279294,2.87975764,3.62481189,3.54951501,3.54230571,5.52803659,3.9013443,3.95553613,6.12220955,3.69447875,3.62368512,2.80501246,2.72644544,3.71003699,3.71003699,3.07176423,3.2214489,4.07774925,3.64899182,3.71150327,5.46116877,6.45397329,6.42090082,5.36158705,7.3962307,4.31303787,3.15823269,2.49635315,3.85596085,3.23479009,4.18616533,3.17797256,4.18616533,6.00710249,4.27746725,6.09348726,3.8418292999999997,3.70477295,4.21980906,5.88741732,4.3181199999999995,4.61431456,4.2957201,3.99840665,3.36883426,3.94368267,3.46071744,3.77678394,4.49712515,4.27646446,4.12371159,4.74060106,4.15372562,4.15372562,4.8935318,4.13960123,3.37337971,4.36939764,4.88230753,3.45477676,3.85312343,3.86234355,4.42259932,3.95920539,3.70832372,3.83216357,5.00828695,4.73172188,4.62607527,3.48663974,3.05763507
2011-01-07,1.89423645,2.79983974,0.78440595,2.21796536,1.65713108,1.62216222,1.08203256,1.17336619,2.03890967,3.18165565,4.53329611,2.9772861,4.62555981,4.68295908,3.06358552,3.18393588,1.76108181,1.51307833,2.13392687,2.13392687,2.56663108,1.42692578,3.7698915,2.96215034,3.1151104,3.18643785,4.57545471,4.11432123,3.77512741,5.28116369,3.43901181,2.36846185,2.24585843,3.36259437,2.84277797,2.75588965,2.67226887,2.75588965,3.94328475,3.69606996,4.56974745,2.02537298,1.80247784,3.45786786,4.36017942,3.98670936,2.90745735,4.04637575,3.11412621,1.97676563,2.81599307,1.88726389,2.26015162,3.88973594,3.70457911,3.48295212,4.00992346,3.41100502,3.41100502,4.01673889,3.61168575,3.2621057,3.69580579,3.84560013,2.53663373,3.47918487,3.31800628,3.85871696,3.61888146,2.97250676,2.69737744,3.07942367,3.15404582,3.67938137,2.1977911,2.70085645
2011-01-08,3.37041187,3.6777761,2.27763033,2.36817002,2.09976864,2.94029117,2.40521169,2.69377327,3.07832527,2.74166703,4.10395479,3.56792188,3.11667562,4.16295433,2.83691812,2.54651546,1.91655743,1.34940708,1.82990503,1.82990503,2.18439603,3.03307891,3.84517956,3.54603267,3.60485578,7.62428522,7.94824791,8.26348209,5.58052206,8.50066757,3.94780445,2.82416177,2.17707276,3.65164852,2.48312116,3.25852585,1.92386663,3.25852585,5.51683807,2.95709229,4.41183233,3.46747994,3.05114293,4.05414581,4.45484972,4.00717974,3.81488395,4.1162324,3.3695724,2.48344731,3.29585004,2.34604478,2.94616985,3.64987302,3.81643653,3.13999391,4.02316236,3.38404679,3.38404679,4.12144518,2.93590736,1.75218976,3.02991652,3.12548828,2.72264171,2.41882968,3.20583344,3.41173959,2.47251511,2.43501282,2.2139051,2.70974946,3.08710647,3.77658486,1.95341969,2.38495016
2011-01-09,6.12619162,6.70101213,2.94485116,5.58353376,5.37210608,4.65020847,3.82714653,3.56277061,5.27163315,6.26575851,8.79521275,5.38016176,3.07753778,4.95062828,3.28472161,5.46390963,4.04775,2.96410823,3.60071492,3.60071492,4.91149473,4.63908052,6.92062521,6.36279917,6.43195868,5.07683706,7.92880201,6.60845375,7.48643255,8.91381836,4.22277975,2.87185836,4.083944799999999,5.14001417,4.70103788,5.69153595,4.70513773,5.69153595,7.89528322,5.16927385,4.93044758,5.656567099999999,4.83046722,7.20497656,5.01274157,6.77558899,5.92485094,7.29286337,5.48672676,4.99067688,5.74135447,4.98553514,5.33367109,5.95383215,5.81790113,5.38946342,6.36550713,5.72172403,5.72172403,6.59306908,4.83494949,4.64976072,5.12985849,5.79608965,5.19599676,5.59785604,5.68444204,5.55860901,4.79287577,4.35603476,4.69547081,4.63787985,4.65778923,4.67326212,5.22879648,4.80653334
2011-01-10,5.61140585,6.45127439,2.76825237,5.133883,5.58452082,4.43764162,4.09054041,3.94115829,5.45365334,3.6281568999999996,4.75520563,3.41489577,6.12138319,5.71642637,3.79421926,6.01369238,4.98716497,4.44928598,4.469587799999999,4.469587799999999,5.66754961,4.17921734,7.11154222,6.312005999999999,6.55350924,4.78139305,6.45254946,5.85479736,5.26093674,7.43215752,3.59665418,3.01264215,4.00966692,5.32399464,4.79751062,5.74318933,4.37544441,5.74318933,8.28675175,7.12298203,7.23006296,5.49015284,4.48655081,7.08043051,7.46943998,7.09865952,6.30229425,7.57611609,6.3662324,5.22115374,6.62875509,5.3006444,5.46026373,7.77535057,7.56564379,6.92975998,7.85078955,6.96360254,6.96360254,7.79113245,6.79818344,6.27393723,6.96684408,7.73062944,6.20212698,7.56047106,6.45349503,7.39626646,6.582349300000001,5.64628601,5.87974024,5.27771378,5.09506369,6.77900839,5.40420485,4.88941526
