"ebint","ebhex","depth","area","longitude","latitude"
11175747,"0xaa8743",2,40467,8.3381834,59.4823085
13726532,"0xd17344",3.2,105388,6.7808914,59.402864
15951665,"0xf36731",4.6,215446,8.6027707,59.4321032
5294512,"0x50c9b0",1.9,35971,11.7062469,59.5480229
2463025,"0x259531",2.8,76043,9.9568141,59.5213644
4634960,"0x46b950",2.3,51735,9.6274957,59.5097705
264684,"0x409ec",1.2,15137,4.9588907,60.7486097
3158394,"0x30317a",5.2,271300,7.1817595,59.3952901
6100136,"0x5d14a8",2.3,53476,9.6607112,59.5735552
4720364,"0x4806ec",3.5,125468,10.5469018,59.6181532
7116404,"0x6c9674",2.2,50519,6.1025838,59.4299077
13474351,"0xcd9a2f",2.7,71842,5.2405596,59.300582
15979799,"0xf3d517",1.6,24278,9.4808293,60.9296021
2659295,"0x2893df",6.8,463682,7.5262574,59.4794775
12581034,"0xbff8aa",1.5,21953,5.7728312,59.5365167
1298950,"0x13d206",3,88594,9.7010358,59.8052155
8569916,"0x82c43c",2.2,47397,6.2892784,59.4142081
1417823,"0x15a25f",3.6,129562,10.5326006,59.6312589
4943570,"0x4b6ed2",2.2,46240,11.681292,59.6713194
6262734,"0x5f8fce",1.9,36768,6.1425174,59.4618539
10373654,"0x9e4a16",8.4,712572,10.304299,59.6646555
8580962,"0x82ef62",1.4,18369,10.4793151,59.6754253
3590593,"0x36c9c1",2.6,69213,9.3878184,59.6548462
11823236,"0xb46884",1.1,12249,11.5654723,59.8314241
669136,"0xa35d0",1.1,12382,5.6738603,61.0211093
1659969,"0x195441",4,163562,6.1931537,59.5099889
4988109,"0x4c1ccd",1.1,12176,11.2469808,61.4345492
3803744,"0x3a0a60",7.8,613236,9.7571012,59.7505236
3235169,"0x315d61",1.5,21693,10.0820454,62.0775695
11291322,"0xac4aba",5.5,297841,6.0246958,59.6162945
12718710,"0xc21276",1.2,14563,7.7774553,61.8661133
13691744,"0xd0eb60",1.9,36234,6.8382528,59.6138696
8818498,"0x868f42",1.5,21558,11.8639601,62.425967
9661167,"0x936aef",3.7,138060,6.2474155,59.6019343
9810314,"0x95b18a",2.3,54050,6.3788305,59.6147359
1805781,"0x1b8dd5",2.8,76595,9.6352785,59.8303611
1940990,"0x1d9dfe",2.4,57081,10.9224031,60.1704098
8795451,"0x86353b",1.4,19526,12.1335265,62.358479
12084250,"0xb8641a",1.3,18144,11.7563635,62.0642456
8848699,"0x87053b",1.4,19246,10.0083084,59.8341093
14018459,"0xd5e79b",1.4,18286,11.2676746,59.8691367
14874532,"0xe2f7a4",4.9,241639,10.5497179,59.9952153
9149245,"0x8b9b3d",1.5,21354,5.3117879,59.8588998
4891530,"0x4aa38a",3.5,125936,8.9668584,59.9587232
4702657,"0x47c1c1",2.4,57077,10.9572822,60.0371142
3621564,"0x3742bc",1.8,33322,9.6931162,59.823355
5642075,"0x56175b",3.6,127801,6.566296,59.6728631
3864922,"0x3af95a",1.4,18887,10.4069391,59.9910221
6821802,"0x6817aa",3,92645,6.0507713,59.7318399
1280176,"0x1388b0",3,89565,11.9400501,59.9200903
10757614,"0xa425ee",2.2,47901,10.1169547,59.9201257
16085519,"0xf5720f",2.7,74071,5.3315723,59.5986367
4103906,"0x3e9ee2",1.5,21880,9.5276686,59.8553004
15372576,"0xea9120",1.7,30037,9.4977113,59.8691083
13498875,"0xcdf9fb",2,38638,11.5874862,59.9435606
6423439,"0x62038f",7.5,558532,11.4449572,59.8896752
4869949,"0x4a4f3d",3.2,102535,6.0958803,59.6388853
15188178,"0xe7c0d2",1.3,16560,10.8863516,64.0187379
5303222,"0x50ebb6",5.6,313095,7.9595772,59.9343037
13345373,"0xcba25d",2.6,68581,10.2198997,59.937318
3819390,"0x3a477e",2.4,57211,5.1781988,59.6608466
2721737,"0x2987c9",1.8,31302,9.0744167,62.328394
9800758,"0x958c36",2.3,53412,6.3084897,59.7629438
4298761,"0x419809",3.3,107764,8.9630061,59.9006402
4782967,"0x48fb77",1.9,36310,11.5853428,59.9972904
6879934,"0x68fabe",2.3,53672,12.0239141,60.0210247
10611947,"0xa1eceb",3.2,101035,10.3476834,59.9928637
10416373,"0x9ef0f5",7.1,498201,5.2202959,59.8093676
15819722,"0xf163ca",1.5,21108,11.7655687,62.429209
12959128,"0xc5bd98",5.2,273648,6.8046457,60.1166419
4738212,"0x484ca4",3.4,118374,8.3238476,60.204885
10866166,"0xa5cdf6",7,486793,6.7816217,59.8976784
14151558,"0xd7ef86",1.7,29280,11.750246,62.4604952
1982739,"0x1e4113",4.2,180265,6.0353493,59.811353
3432948,"0x3461f4",1,10659,10.3084589,63.6413216
6645394,"0x656692",1.5,21640,9.7742961,60.1576133
15880999,"0xf25327",2.3,52259,5.2118525,59.768105
56244,"0xdbb4",4.9,241865,6.8566934,59.889226
1780561,"0x1b2b51",3.1,94458,11.5160711,60.0962396
2219297,"0x21dd21",4.9,238793,7.37117,60.0999013
7179318,"0x6d8c36",1.3,15802,10.5817205,64.0663963
15896049,"0xf28df1",1.2,14842,8.8985797,63.3778541
2321310,"0x236b9e",1.2,14866,10.8289882,62.6718001
4848050,"0x49f9b2",5,253583,7.8320451,60.1323033
15532620,"0xed024c",3.4,114892,8.9937418,60.0237002
5812083,"0x58af73",1.3,16121,9.1783794,62.6956284
16389829,"0xfa16c5",1.1,11674,10.3112084,60.3865096
16108214,"0xf5cab6",6.7,452713,10.9405108,60.5960127
3713505,"0x38a9e1",2.3,54016,8.792515,60.49947
15855532,"0xf1efac",1.6,26347,10.4308144,60.5852341
5380171,"0x52184b",2.2,47318,8.2374073,60.633062
4605162,"0x4644ea",2.2,48066,9.5652093,60.1418634
14294411,"0xda1d8b",1.1,13135,10.9073559,60.1438891
735632,"0xb3990",1.1,11590,10.0180537,63.0003186
7144170,"0x6d02ea",8.3,693490,12.5409583,60.3690757
16618925,"0xfd95ad",3.4,118562,10.7106702,60.1196122
469373,"0x7297d",3.7,137401,9.7638048,60.7159993
6771768,"0x675438",1.7,27843,10.9022575,60.1976522
6447580,"0x6261dc",9.8,958846,8.052365,60.0166211
7053100,"0x6b9f2c",4.2,175519,12.4295833,60.2353801
10278565,"0x9cd6a5",2.2,47100,6.5536648,59.9127551
6075067,"0x5cb2bb",1.5,22861,10.7141279,63.3106262
9114601,"0x8b13e9",1.8,33556,11.8981074,63.3426208
16181068,"0xf6e74c",1.3,15647,11.5359956,60.2018129
10080997,"0x99d2e5",5.2,268885,7.7060292,60.9099057
2812660,"0x2aeaf4",6.3,392598,9.357793,60.0799128
1510026,"0x170a8a",1.3,17250,11.6978155,63.1961935
3507594,"0x35858a",1.4,19349,12.0185364,63.6145502
14899117,"0xe357ad",3.8,147812,9.4966097,63.4633365
15329215,"0xe9e7bf",1.6,26735,10.8444242,60.1800154
5261304,"0x5047f8",1.7,28833,9.3745367,63.4688759
12414794,"0xbd6f4a",1.4,19805,12.0304904,63.3332644
15416280,"0xeb3bd8",1.7,30465,10.7842914,60.1832598
14025088,"0xd60180",1.1,11361,11.0048116,63.3659427
5892075,"0x59e7eb",2.1,42464,11.6968621,60.2383397
1899527,"0x1cfc07",2.4,59631,5.6088887,59.9451957
11200555,"0xaae82b",4.6,214459,8.8574431,60.1564383
6368321,"0x612c41",5.4,293381,6.4708587,60.0734789
14749300,"0xe10e74",2.1,43192,8.116045,60.1333304
12620688,"0xc09390",2.7,71474,5.3294766,59.9599494
7273988,"0x6efe04",2,39225,10.7185156,60.275352
12703565,"0xc1d74d",2.2,48032,9.036896,60.3010307
9772115,"0x951c53",1.5,22881,8.7454726,63.7286796
85862,"0x14f66",1.5,22591,8.8034219,63.7305592
406169,"0x63299",4.5,206193,12.3786629,60.3323648
16730711,"0xff4a57",8.1,650396,12.2728315,60.3262263
8334190,"0x7f2b6e",7.5,560588,10.0348884,60.2759676
920407,"0xe0b57",1.4,20726,9.2120611,60.2403225
3427298,"0x344be2",4.4,193596,6.8774869,60.2741282
8134208,"0x7c1e40",1.3,17614,8.6414937,63.7234937
15199857,"0xe7ee71",2.8,77791,10.4622795,60.3103085
15334367,"0xe9fbdf",2.6,65664,7.650057,60.5375826
1087295,"0x10973f",4.4,193290,8.9205306,60.7689122
10391737,"0x9e90b9",3.6,131551,6.8067217,60.6537252
10884640,"0xa61620",1.3,17885,8.3340532,61.3555235
16388252,"0xfa109c",7.2,522512,7.5569151,60.9593385
722346,"0xb05aa",5.1,260707,7.2449791,60.0536319
9933726,"0x97939e",5.9,349538,7.1298667,60.0572675
13291851,"0xcad14b",2.2,49169,8.3377969,61.3514131
2832491,"0x2b386b",1.3,17540,11.7079521,63.8985809
3541928,"0x360ba8",1.2,13674,11.5714399,64.3550115
984799,"0xf06df",2.1,44320,10.7716065,60.4883116
4824017,"0x499bd1",1.6,24567,7.6741458,60.2042145
7606211,"0x740fc3",2.8,78819,8.6290906,60.2813044
15643633,"0xeeb3f1",1.1,13146,11.5564577,64.36074
12529523,"0xbf2f73",1.5,22209,11.5556689,60.4651456
11658833,"0xb1e651",1.8,32334,7.7307004,60.3200315
7207193,"0x6df919",1.8,33002,10.9021518,63.970638
14629208,"0xdf3958",2.4,57261,10.1707882,60.4687317
11874732,"0xb531ac",1.6,25037,10.4708042,63.966285
3124926,"0x2faebe",1.3,17168,11.5630434,64.3754059
1704772,"0x1a0344",1.4,18405,10.9800814,64.0149922
