"ebint","ebhex","depth","area","longitude","latitude","clust30","clust30a"
9022253,"0x89ab2d",51,26023437,11.8406077,63.5675293,27,6
14391232,"0xdb97c0",18.6,3446969,13.8503448,65.7547285,17,20
15081091,"0xe61e83",40.1,16114231,13.3131201,65.1659928,7,20
14877831,"0xe30487",53.4,28563249,14.9152958,66.2287424,17,20
11511558,"0xafa706",23.4,5477040,16.0034997,67.1442315,5,26
2875131,"0x2bdefb",21,4399228,17.9072611,68.2612726,4,23
13495522,"0xcdece2",14.8,2189133,15.906989,67.7008882,4,23
3220215,"0x3122f7",19.3,3723586,15.5127816,67.8849866,4,23
13871663,"0xd3aa2f",25.9,6687152,16.4035492,68.6383137,4,23
4095532,"0x3e7e2c",13.4,1808737,23.3501775,68.9098548,14,8
16275692,"0xf858ec",34.9,12198107,28.8973821,69.1114927,26,15
14406330,"0xdbd2ba",12,1435168,23.933758,69.6863493,14,9
9238650,"0x8cf87a",18.2,3324855,23.707649,69.5247073,14,9
6141040,"0x5db470",10.3,1061036,22.6390747,69.5922245,15,9
15848217,"0xf1d319",9.5,893860,29.1882516,69.3747556,26,15
14839289,"0xe26df9",13.4,1798022,28.066675,70.140213,26,1
7107434,"0x6c736a",22,4861622,29.1061887,70.5089366,26,1
9542218,"0x919a4a",19.9,3955983,7.9527548,59.0484846,9,19
14259438,"0xd994ee",13.3,1778016,10.4338921,59.4114471,3,7
6395350,"0x6195d6",18.1,3262345,7.8677591,59.6032943,3,7
9524277,"0x915435",8.4,704609,7.1601367,59.6075299,23,27
7551384,"0x733998",23.6,5577517,7.8810475,59.7936879,3,7
7453303,"0x71ba77",19.3,3722848,10.0646268,59.8664482,3,7
16677229,"0xfe796d",27.4,7493725,6.7875392,59.7957289,23,27
16022122,"0xf47a6a",17.2,2975491,5.3235861,59.8888268,23,27
16047432,"0xf4dd48",14.7,2151867,7.3612785,60.0355035,23,27
4321739,"0x41f1cb",25.4,6428033,6.7508404,60.0676943,23,27
7712037,"0x75ad25",10.1,1027511,7.390421,60.2339164,23,27
8395734,"0x801bd6",36.4,13262380,8.552366,60.5193013,8,24
13392244,"0xcc5974",11,1213180,5.5946656,60.9602772,29,21
7430954,"0x71632a",13.7,1866038,9.2946411,61.0219078,8,24
6673916,"0x65d5fc",69.4,48143392,11.2415023,61.5475115,8,16
2619832,"0x27f9b8",34.2,11705337,12.0373847,61.6000919,21,30
5115815,"0x4e0fa7",14.9,2210532,9.2545434,61.838222,8,16
605209,"0x93c19",18.2,3297273,7.9826407,62.4925322,27,22
15625130,"0xee6baa",27.6,7590906,6.4687227,62.4758048,29,21
13861629,"0xd382fd",8.4,701442,11.6177038,64.3671028,7,6
7910150,"0x78b306",27.9,7787054,9.0381973,63.2621106,27,22
4639848,"0x46cc68",14.1,1974878,12.6001198,64.008881,7,6
1714112,"0x1a27c0",26,6740070,12.2168993,64.5785515,7,6
3796005,"0x39ec25",13.4,1784440,14.2547436,66.8191414,5,26
7433319,"0x716c67",17.7,3132703,14.3556985,66.9768482,5,26
10923842,"0xa6af42",28.8,8271969,15.2272159,67.321292,5,26
2978032,"0x2d70f0",16.2,2638136,17.4483961,68.3600122,4,23
16104002,"0xf5ba42",29.8,8875543,18.2574435,69.3157153,15,10
13975362,"0xd53f42",24.7,6108943,23.3407084,68.8119353,14,8
6518163,"0x637593",39.1,15259957,19.0878313,69.1117633,15,10
2695153,"0x291ff1",13.2,1738194,15.9493087,69.2539776,4,23
3051200,"0x2e8ec0",10.4,1075162,29.4558875,69.5649279,26,15
10643155,"0xa266d3",20,3995011,24.4143182,69.5027824,14,9
10810024,"0xa4f2a8",14.5,2100660,27.7990442,70.2994659,1,1
11689421,"0xb25dcd",14.7,2156002,5.6702002,58.967215,9,19
483732,"0x76194",34.2,11698369,11.6803968,59.8218036,10,2
9590397,"0x92567d",13.2,1753668,9.1635481,59.2963096,3,7
12957008,"0xc5b550",11.3,1276806,9.0985242,59.7445913,3,7
4558558,"0x458ede",8.6,733973,10.5811665,60.079036,8,16
4545517,"0x455bed",12.8,1651099,7.98041,60.2508769,23,24
6144274,"0x5dc112",8.6,742364,7.567263,60.7853083,23,24
14058702,"0xd684ce",16.5,2737019,5.0364343,60.2609815,23,27
11352154,"0xad385a",13.3,1778699,8.3657365,60.4582864,8,24
15192669,"0xe7d25d",12.1,1455976,8.4554666,60.4687177,8,24
15263647,"0xe8e79f",8.4,706813,11.4652371,60.7232447,8,16
11560653,"0xb066cd",17.3,2998269,8.2350102,61.0795992,8,24
15210334,"0xe8175e",15.8,2492777,8.077283,61.6603407,29,21
8758228,"0x85a3d4",13.3,1756060,9.5746187,61.2984269,8,16
10714633,"0xa37e09",12.5,1571732,5.7578174,61.2586205,29,21
13374590,"0xcc147e",16.7,2791285,9.653257,61.5267108,8,16
13628100,"0xcff2c4",26.4,6956822,7.5698445,62.0181802,29,21
12469214,"0xbe43de",14.3,2032268,5.7585782,61.9970532,29,21
9391597,"0x8f4ded",9.2,837995,7.9749507,63.1817431,27,22
1148995,"0x118843",15.4,2386692,9.7866645,62.3754573,27,22
8425299,"0x808f53",15.8,2497741,13.6549322,65.1174721,7,20
11375828,"0xad94d4",14.7,2149112,8.2735457,62.8395654,27,22
5644617,"0x562149",11.2,1254668,10.4261193,63.6836847,27,22
10962178,"0xa74502",26.1,6786552,9.6709793,63.4693154,27,22
12746137,"0xc27d99",10.6,1113896,11.0618731,64.2376431,7,6
13665562,"0xd0851a",17.6,3087598,16.1157512,67.3331941,5,26
7007812,"0x6aee44",25.7,6624464,14.8815968,67.0669513,5,26
11452611,"0xaec0c3",15.1,2282742,16.0967722,67.5964406,4,23
2535760,"0x26b150",14.2,2005465,15.471894,67.673758,4,23
11638287,"0xb1960f",32.2,10392968,18.200502,69.2212743,4,10
1859911,"0x1c6147",12.5,1566136,22.6449286,69.5037546,15,9
10746031,"0xa3f8af",11.9,1421760,23.558159,69.6978901,15,9
9734066,"0x9487b2",15.1,2274345,29.6162161,69.4540197,26,15
2526801,"0x268e51",20.7,4300279,27.4508101,70.7130159,1,1
12566884,"0xbfc164",27.2,7425158,7.8115278,58.428325,9,19
5320077,"0x512d8d",28.1,7906599,8.555857,58.3834723,9,19
268172,"0x4178c",8.7,760132,6.2262554,59.0562354,9,19
15077842,"0xe611d2",14,1946462,9.5160527,59.9890554,3,7
55592,"0xd928",16.4,2698124,5.3869756,59.4688466,23,27
8925500,"0x88313c",13.5,1809676,6.6751028,59.782821,23,27
12005672,"0xb73128",23.8,5662047,11.8921046,59.9120168,10,2
952343,"0xe8817",12.3,1520205,6.5673921,59.7061397,23,27
8590649,"0x831539",56.2,31545557,8.2766028,60.0374846,3,24
8724694,"0x8520d6",22.3,4960473,8.7937322,60.1592221,3,24
14929200,"0xe3cd30",28.1,7900708,6.3610833,60.6174151,23,27
12599678,"0xc0417e",13.3,1772505,10.8894146,60.429361,8,16
