"ebint","ebhex","depth","area","longitude","latitude"
7529317,"0x72e365",25.5,6499873,19.6625111,68.17219
7250432,"0x6ea200",12.6,1590020,19.9649154,68.2832653
1218806,"0x1298f6",13.6,1839372,20.3043584,68.2755699
15880997,"0xf25325",16.7,2799922,18.6185015,68.2964536
4339835,"0x42387b",23.2,5391743,18.2007715,66.3419967
16670161,"0xfe5dd1",16.9,2847406,21.7459042,66.2540781
10949501,"0xa7137d",16.7,2804879,19.7011126,66.3706143
13813176,"0xd2c5b8",16.3,2652492,17.9840494,66.4657846
9033147,"0x89d5bb",25.3,6395809,20.6096265,68.0211954
11464269,"0xaeee4d",26,6782898,20.4124392,67.9896941
12602959,"0xc04e4f",33.2,10992349,20.4394625,67.9064495
2830258,"0x2b2fb2",17.5,3075690,23.4833594,67.9591753
13834604,"0xd3196c",41,16787264,19.2152363,68.1188799
15973690,"0xf3bd3a",11.8,1383630,19.8615783,68.09068
12392560,"0xbd1870",18.7,3509518,19.9313935,68.0284534
13167621,"0xc8ec05",14.6,2117405,19.8180797,68.0421434
14411580,"0xdbe73c",12.1,1454089,20.1309103,68.2072411
1105627,"0x10dedb",13.5,1811294,18.5119976,68.1890593
12454884,"0xbe0be4",49.5,24472190,20.7358888,67.8617479
9487532,"0x90c4ac",19,3607576,20.8892842,65.5764896
3354837,"0x3330d5",40,16008386,17.1781273,67.8616674
1044255,"0xfef1f",16.5,2730871,22.2228348,67.7485259
12790755,"0xc32be3",38,14456770,17.4047302,67.8484103
16715036,"0xff0d1c",15.6,2435253,20.1874797,67.8643696
16756548,"0xffaf44",26,6761513,17.7504256,67.9488637
4865214,"0x4a3cbe",12.4,1540784,18.8927638,67.7289823
7172928,"0x6d7340",21,4396285,18.8321993,67.6846925
15308572,"0xe9971c",20.1,4033252,18.1419736,67.8154701
4106855,"0x3eaa67",19,3607368,19.5718569,67.7479312
4278192,"0x4147b0",41.6,17331276,17.2878832,67.8209425
13245213,"0xca1b1d",13.9,1941196,20.76113,64.4827456
9753175,"0x94d257",28.1,7893608,19.6280003,65.0468816
12189374,"0xb9febe",16.8,2811846,18.8267916,67.4884881
10639336,"0xa257e8",15,2258088,16.538325,67.5253179
5149731,"0x4e9423",13.4,1783018,19.9557657,67.4924334
2659385,"0x289439",13.2,1729907,20.1028406,67.5040638
14829134,"0xe2464e",18.2,3325750,16.7922944,67.6909962
13514798,"0xce382e",106.1,112642592,16.5459854,67.3806351
4856966,"0x4a1c86",83.1,69119378,18.7783146,67.4619352
10329724,"0x9d9e7c",21.5,4625699,21.0927932,67.4261066
6526115,"0x6394a3",30.1,9033283,21.6649588,67.4123059
14360456,"0xdb1f88",15.8,2503849,17.5529624,67.6180181
14897468,"0xe3513c",19.2,3703152,21.9721202,67.547046
6949662,"0x6a0b1e",19.6,3833175,17.7982319,67.5544415
12102912,"0xb8ad00",21.1,4463357,18.5079155,67.5834142
12246059,"0xbadc2b",23.6,5590016,18.3483567,67.4064032
10477809,"0x9fe0f1",87.8,77093874,18.4325226,67.0472471
5017222,"0x4c8e86",46.7,21774067,18.3349995,67.2575942
6462495,"0x629c1f",11.4,1302453,17.0570614,67.2740648
4612228,"0x466084",15.8,2492307,19.5269453,67.2399182
7070754,"0x6be422",17.6,3106032,20.8163559,67.3179849
15691345,"0xef6e51",16,2548271,18.9746905,67.3650308
2736236,"0x29c06c",20,3980276,16.2483157,67.3935598
3292795,"0x323e7b",15.8,2490433,19.7880596,67.3511629
3764855,"0x397277",17.3,2984815,20.8573387,67.3510363
4419447,"0x436f77",22.1,4904790,20.5533514,67.3995872
16395037,"0xfa2b1d",15.9,2525203,19.2858805,67.3843995
13036554,"0xc6ec0a",16.1,2585820,19.3573174,67.4305323
4608197,"0x4650c5",25.5,6527266,21.7902154,67.3558442
