"","Id","vannlnr","vnnlnr2","NO_SE_D","mrros_historical_1961_1990","mrros_rcp45_2071_2100","mrros_rcp85_2071_2100","tas_historical_1961_1990","tas_rcp45_2071_2100","tas_rcp85_2071_2100","pr_historical_1961_1990","pr_rcp45_2071_2100","pr_rcp85_2071_2100","tasmin_historical_1961_1990","tasmin_rcp45_2071_2100","tasmin_rcp85_2071_2100","tasmax_historical_1961_1990","tasmax_rcp45_2071_2100","tasmax_rcp85_2071_2100","trange_historical_1961_1990","trange_rcp45_2071_2100","trange_rcp85_2071_2100","tmin_month_historical_1961_1990","tmax_month_historical_1961_1990"
"0",0,3562,3562,193.060555555556,7.35553080887074e-06,4.70890073495907e-06,3.17172218062338e-06,277.333629895138,279.671084259689,281.18454324414,2.95928383300497e-05,3.0156172119446e-05,3.06470457218095e-05,267.351397773883,269.578893253233,272.188068601577,290.16381863769,292.194412451952,293.739122947703,22.8124208638064,22.6155191987187,21.551054346126,"Jan","Jun"
"1",0,3608,3608,180.687191011236,7.02389428293605e-06,4.42167366494293e-06,2.9702891524714e-06,277.511818410783,279.834757850284,281.335385595701,3.04344230284936e-05,3.0836465378599e-05,3.06868030260607e-05,267.802429349822,276.701291826892,272.48425262211,290.157105243886,292.186443070075,293.73920232181,22.3546758940641,15.485151243183,21.2549496997004,"Jan","Jun"
"2",0,316,316,192.741038873463,7.35194255219117e-06,4.72406143890427e-06,3.34637001630984e-06,276.846170515851,279.27641506092,280.813520632324,2.77281208837027e-05,2.83785226880778e-05,2.8912416002729e-05,266.132876049272,268.745792586036,271.308047055951,290.187508640398,292.221357146042,293.652601201853,24.0546325911255,23.4755645600056,22.3445541459021,"Jan","Jun"
"3",0,133,133,118.235525378451,6.04306440545797e-06,3.4758552793885e-06,2.13880500697666e-06,277.716869255867,280.066243963591,281.584155373229,2.91948559929594e-05,2.97282611441914e-05,2.96369452108049e-05,267.787628603087,269.873579576733,273.087178494481,290.500209288614,292.589379661154,294.046555818399,22.7125806855267,22.7158000844209,20.9593773239177,"Jan","Jun"
"4",0,3494,3494,116.166,5.95218650137723e-06,3.34987367023785e-06,1.92981808501957e-06,277.648433210497,280.009313462026,281.537686633831,2.68640208916465e-05,2.75738983121441e-05,2.79707229575234e-05,267.219458705711,269.670391329271,272.198233169026,290.769354288726,292.798684462593,294.262118760175,23.5498955830151,23.1282931333223,22.0638855911494,"Jan","Jun"
"5",0,3454,3454,142.115,6.44408113902137e-06,3.82612438060558e-06,2.44008721145972e-06,277.418891431935,279.791785158731,281.323042657851,2.70156602500331e-05,2.78225001341474e-05,2.80037767878519e-05,260.457316460728,269.421819391159,272.01935362898,289.566865301422,292.655375069173,294.104388261145,29.1095488406935,23.2335556780148,22.085034632165,"Jan","Jun"
"6",0,3344,3344,217.723333333333,7.81653440788243e-06,5.03185123261697e-06,3.68535235568302e-06,276.659503611619,279.095773684177,280.629110267496,2.82141983813764e-05,2.88753488548424e-05,2.90592471166547e-05,265.89117292402,268.581960185817,271.136851350404,290.07188896814,292.131683055443,293.546002216362,24.1807160441195,23.549722869626,22.4091508659574,"Jan","Jun"
"7",0,3438,3438,140.1575,6.42954459997278e-06,3.77650364894517e-06,2.40573835889298e-06,277.371726958267,279.753260646389,281.288065411016,2.6674141158438e-05,2.75582254014036e-05,2.80807185738708e-05,266.714228558293,269.363742856194,271.656345561303,290.674145896936,292.68774129475,294.136544465297,23.9599173386425,23.3239984385561,22.4801989039933,"Jan","Jun"
"8",0,323,323,212.989843110505,7.74129388114528e-06,5.12248591556285e-06,3.76445163221196e-06,276.520009748406,278.989695289038,280.535299668137,2.74530627178294e-05,2.81382876579279e-05,2.87452741809835e-05,265.549902661171,268.270015938007,270.830111233473,290.046820706749,292.088872328885,293.471315732119,24.4969180455774,23.8188563908778,22.6412044986463,"Jan","Jun"
"9",0,3415,3415,204.991558441558,7.82637012559838e-06,4.92109999783624e-06,3.6552083476096e-06,276.935325315962,279.336461089255,280.863652632121,2.8829909088178e-05,2.91826738754466e-05,2.95970487606455e-05,266.461495467517,269.01680944791,271.55423356255,290.098551964301,292.288851101435,293.58691301203,23.6370564967835,23.2720416535257,22.0326794494805,"Jan","Jun"
"10",0,295,295,115.748369188064,6.55315594962102e-06,3.81268485908572e-06,2.58196957104112e-06,277.51302023812,279.914843384756,281.441774830259,2.90555580970935e-05,3.00516812795111e-05,3.05360994197965e-05,267.177632582839,269.501708212278,272.045186083729,290.536880535457,292.717738924251,294.099667755482,23.3592479526176,23.2160307119728,22.0544816717528,"Jan","Jun"
"11",0,297,297,130.431325301205,7.2093095811575e-06,4.88492947874935e-06,3.31506224596616e-06,277.088258217405,279.582566418787,281.136234344826,2.71843480920055e-05,2.80845295005906e-05,2.82020572814181e-05,266.066596833551,268.748917006879,271.32497140315,290.62247117976,292.809917259598,294.16167049673,24.555874346209,24.0610002527193,22.8366990935796,"Jan","Jun"
"12",0,5509,5509,252.839965217391,1.13401020781495e-05,8.80021126717818e-06,7.12214892769075e-06,276.0870405121,278.636579695725,280.220722096541,3.21990878981495e-05,3.36375073601221e-05,3.38135342030344e-05,265.072180203289,267.857567626939,270.374797350591,289.639442965634,291.842416112301,293.286381550022,24.5672627623453,23.9848484853619,22.9115841994309,"Jan","Jun"
"13",0,3208,3208,278.537777777778,8.75705880150713e-06,6.23465380916946e-06,5.00900587428465e-06,276.144968086529,278.61123701036,280.148262529307,2.83436134697703e-05,2.90388883933935e-05,3.00058376106206e-05,265.404149074973,268.07419139656,270.48873667974,289.649393269727,291.665616315295,293.064375226538,24.2452441947545,23.5914249187351,22.5756385467979,"Jan","Jun"
"14",0,3446,3446,120.885954198473,6.3515650915744e-06,3.49171313224898e-06,2.06517169845334e-06,277.597434306984,279.971334095319,281.494849586347,2.80607763808488e-05,2.84311675208205e-05,2.88511730866423e-05,267.448644040827,269.602836932608,272.245393329998,290.556655414795,292.620413437968,294.056885070252,23.1080113739682,23.0175765053598,21.8114917402542,"Jan","Jun"
"15",0,3268,3268,248.234516129032,8.44701839310786e-06,5.69729244784454e-06,4.32497205311688e-06,276.355139935619,278.820131254791,280.355093151704,2.86311603068444e-05,2.92522895186392e-05,2.90645422683252e-05,265.634550981993,268.300852171874,270.788545221094,289.762221735819,291.806413346819,293.225501013924,24.1276707538263,23.5055611749452,22.4369557928296,"Jan","Jun"
"16",0,3184,3184,287.189361702128,8.89778271571417e-06,6.39663788749212e-06,5.20803347090108e-06,276.063194329613,278.535298668661,280.074641782021,2.84241665770945e-05,2.91356885421396e-05,2.99284190119433e-05,265.318136710733,267.960355871812,270.415913410468,289.580036392855,291.579229042117,292.995485454794,24.2618996821217,23.6188731703055,22.5795720443252,"Jan","Jun"
"17",0,315,315,253.56052917232,7.8759741193661e-06,5.79465307790032e-06,4.4500223893277e-06,276.087808224695,278.585535712252,280.153797585227,2.64620337899975e-05,2.74251599441101e-05,2.79564536800598e-05,264.954165298732,267.641121541893,270.294805642965,289.810855940341,291.820988230062,293.192460881676,24.8566906416094,24.1798666881692,22.8976552387107,"Jan","Jun"
"18",0,3107,3107,216.978231884058,7.86139892655774e-06,5.51557337319145e-06,4.04969864034902e-06,276.336600732618,278.844397180268,280.412075060966,2.70684397447496e-05,2.77744410921986e-05,2.82128465604824e-05,265.231741047454,267.91405376954,270.564245499793,290.018916268871,292.115687941288,293.446338052198,24.7871752214171,24.201634171748,22.8820925524054,"Jan","Jun"
"19",0,3067,3067,212.177692307692,8.57538363449255e-06,6.18175544852383e-06,4.63781214430311e-06,276.251445355591,278.793779622334,280.382710754519,2.72534295894018e-05,2.82030894617898e-05,2.85816152533334e-05,264.923007074849,267.737718443013,270.402165949874,290.09471704131,292.18819541936,293.541778531066,25.1717099664614,24.4504769763469,23.1396125811918,"Jan","Jun"
"20",0,3067,4141,211.081666666667,9.08813970463212e-06,7.30321487126283e-06,5.55132233014067e-06,275.929242746634,278.493171853927,280.090899403731,2.93493356640594e-05,3.10313134021487e-05,3.13564212080333e-05,264.097587568375,267.063890519071,269.754033363927,289.857264390896,291.881594921734,293.304542680064,25.7596768225204,24.8177044026626,23.5505093161377,"Jan","Jun"
"21",0,4404,4404,214.465454545455,7.17330863393961e-06,5.14052825446712e-06,3.80121914603748e-06,276.288383791559,278.787278702474,280.360605105504,2.56093706432429e-05,2.65906576626014e-05,2.70845197738471e-05,264.896318371971,267.701419599501,270.384424817294,290.098117164997,292.106274483921,293.480407065406,25.2017987930261,24.4048548844199,23.0959822481123,"Jan","Jun"
"22",0,4298,4298,320.585523809524,8.73902376019764e-06,6.79630405121452e-06,5.46947068399087e-06,275.636768914811,278.139185162783,279.704351277121,2.71090798100781e-05,2.81613701242808e-05,2.87605653887954e-05,264.435979256747,267.271543627906,269.915664319664,289.323994340057,291.290638802753,292.656526873557,24.8880150833102,24.0190951748476,22.7408625538927,"Jan","Jun"
"23",0,4725,4725,404.278235294118,1.13096316727196e-05,1.0321487407716e-05,8.80195328664629e-06,274.77053235643,277.298981153191,278.906905039109,3.18592000888684e-05,3.35064576882104e-05,3.38608882505278e-05,263.597726471871,266.226730468453,268.818018316548,288.290016668131,290.326678088178,291.868824456936,24.6922901962604,24.0999476197252,23.0508061403875,"Jan","Jun"
"24",0,3981,3981,438.4,1.23067775521032e-05,1.11191750515309e-05,9.41848683141471e-06,274.599443721048,277.133400003055,278.728756417994,3.29708709693872e-05,3.46379171863788e-05,3.49408712865989e-05,263.600998302007,266.247657999918,268.810853278365,288.034654951718,290.071336254714,291.597019623816,24.4336566497112,23.8236782547961,22.7861663454509,"Jan","Jun"
"25",0,3943,3943,475.269666666667,1.25139558920477e-05,1.14887768316923e-05,9.84294771677698e-06,274.386683178757,276.920946809493,278.519397454763,3.29512490831401e-05,3.45781185835691e-05,3.50890960378299e-05,263.458240388771,266.10214999431,268.669883931379,287.784621113001,289.820993026524,291.352437365123,24.3263807242301,23.718843032214,22.682553433744,"Jan","Jun"
"26",0,141,141,456.416752560647,1.20105453621016e-05,1.09889528695256e-05,9.45835423459674e-06,274.509272641462,277.044638337236,278.649891160131,3.23375523142537e-05,3.39821766710226e-05,3.75219992220314e-05,263.525152754418,266.168099139804,268.741451144854,287.938826501208,289.994116069003,291.537717573951,24.4136737467898,23.8260169291984,22.7962664290974,"Jan","Jun"
"27",0,5505,5505,157.474761904762,7.55369446928451e-06,5.26986492142491e-06,3.69100150278373e-06,276.867841724919,279.371176979109,280.932237448033,2.75968324055221e-05,2.84850012119551e-05,2.85797948376206e-05,265.856002623606,268.563279680811,271.156625242749,290.40636563414,292.589806995643,293.963498631995,24.5503630105338,24.0265273148318,22.8068733892458,"Jan","Jun"
"28",0,5168,5168,347.340625,1.17615664530017e-05,9.57998723755335e-06,7.81793379848118e-06,275.429850882648,277.969286465303,279.542821922238,3.36539974309817e-05,3.51973924826045e-05,3.54619534983785e-05,264.537471999608,267.278034919167,269.77114640841,288.766761433861,290.951546753021,292.480082141851,24.2292894342528,23.6735118338536,22.7089357334409,"Jan","Jun"
"29",0,300,300,412.247777777778,1.28320003948508e-05,1.07197551818565e-05,9.00899768979025e-06,275.062998998897,277.598022790155,279.164131093915,3.49194019485625e-05,3.64724612720875e-05,3.65345556172216e-05,264.39929439399,267.073283760792,269.527158601493,288.269943043022,290.452598931452,291.960585846299,23.8706486490318,23.3793151706599,22.4334272448059,"Jan","Jun"
"30",0,4313,4313,300.48440748122,8.79396238603672e-06,6.64968183326084e-06,5.26329336588285e-06,275.626969457486,278.14907284808,279.7071780403,2.7474674445764e-05,2.80937633873194e-05,2.90193503383088e-05,264.075056662919,267.114500140625,269.695213697125,289.448216841442,291.296371923878,292.666913169907,25.3731601785231,24.1818717832527,22.9716994727817,"Jan","Jun"
"31",0,4332,4332,273.555909090909,8.36928774540497e-06,6.0419440074595e-06,4.76870189405671e-06,275.899810941707,278.405489851232,279.957946833669,2.7069594366094e-05,2.75226559550169e-05,2.76523652115693e-05,264.48564895494,267.408578272863,270.006038486134,289.704554368187,291.58193762656,292.9773526755,25.2189054132472,24.173359353697,22.9713141893661,"Jan","Jun"
"32",0,371,371,264.108768115942,8.22194314293638e-06,6.01454857143876e-06,4.67948125802783e-06,275.866521959559,278.382606486935,279.94005825437,2.68348385369286e-05,2.73932413307451e-05,2.77800574319722e-05,264.332934469393,267.548304109257,269.848656611302,289.717519793471,291.598616542674,292.93990737665,25.3845853240775,24.0503124334178,23.0912507653484,"Jan","Jun"
"33",0,194,194,662.901495327103,1.53346123288167e-05,1.44397086577147e-05,1.3261073710274e-05,272.889448648493,275.482534480381,277.067476888454,3.52812618352173e-05,3.74540876781603e-05,3.90218761087807e-05,262.559851038552,264.891971396039,267.215286414294,286.157801593405,288.178566846034,289.78096952967,23.597950554853,23.2865954499948,22.5656831153757,"Jan","Jun"
