"","lakenames","bmodel1","bmodel2"
"1","SW0-0001",0.777044713331975,2.21483746352461
"2","SW0-0039",0.246101056547316,0.848096113079616
"3","SW0-0063",0.215199048131792,0.225847128070894
"4","SW0-0188",0.752966524859136,1.39714060971788
"5","SW0-0500",0.629653741079619,1.28296215770019
"6","SW0-0620",0.687113243080297,1.19025443692309
"7","SW0-0621",0.413766441900019,1.65087007447517
"8","SW1-0115",0.557783046638939,1.23498531898023
"9","SW1-0118",NA,NA
"10","SW1-0197",1.0331440930671,4.0831412302128
"11","SW1-0333",0.572617661437026,1.34211303396833
"12","SW1-0334",1.10405957762822,1.44110066182335
"13","SW1-0335",0.416162916188472,2.06151774852353
"14","SW1-0336",0.814482865206032,1.36302140207348
"15","SW1-0338",0.471673264960397,1.24174412767122
"16","SW1-0339",0.575946337034949,1.15498073341057
"17","SW1-0341",0.761074257692158,1.48521801595919
"18","SW1-0344",0.951029399271812,1.8911764776089
"19","SW1-0345",0.354926127856887,1.55512163010435
"20","SW1-0347",0.888941017936605,1.72978125219207
"21","SW2-0001",NA,NA
"22","SW2-0078",0.241560547299232,0.590123956048952
"23","SW2-0085",0.827775083217762,1.29018375354775
"24","SW2-0087",0.734605541825949,1.68970497994335
"25","SW2-0099",0.548382145883224,1.3662799658677
"26","SW2-0109",0.479077585098668,0.634344050738257
"27","SW2-0122",0.751529704274794,1.63211257897093
"28","SW2-0129",0.486477551191481,0.970756848557671
"29","SW2-0132",0.663535987374348,1.12906771191265
"30","SW2-0139",NA,NA
"31","SW2-0160",0.958686029989213,2.37694137239459
"32","SW2-0700",0.317339672637862,1.15630624780326
"33","SW2-0777",0.347772378477647,1.33827397170258
"34","SW2-0778",0.661992031369421,2.31697535830323
"35","SW2-0782",0.810691934761661,1.53390054603185
"36","SW2-0808",0.488502395094107,1.22755999168595
"37","SW2-0812",0.584182387399952,1.25235269868212
"38","SW2-0813",0.432527986556941,1.32252383171694
"39","SW2-0826",0.331938670491135,0.846574529133314
"40","SW2-0829",1.07065353244687,1.35378159643143
"41","SW2-0830",0.975356069724717,2.03565988002446
"42","SW2-0831",0.631122661683693,1.49449262104196
"43","SW2-0832",0.834999891897783,1.26861400584953
"44","SW2-0846",0.397247714962037,0.727298109890647
"45","SW2-0847",0.33023319467052,0.938518545147323
"46","SW2-0849",0.245716716460565,0.522327709126709
"47","SW2-0853",0.803649915937658,1.69203461309145
"48","SW2-0854",0.501303111049592,1.47078786026067
"49","SW2-0855",0.626692337791225,1.69642944367537
"50","SW2-0856",0.849452312121694,1.61860605398251
"51","SW2-0857",0.273675228610116,0.541539903087032
"52","SW2-0858",0.454316688230211,1.19246610507113
"53","SW2-0859",0.711899914744585,1.75894563125513
"54","SW2-0860",0.867442636290916,1.21174613520462
"55","SW2-0861",0.91503858991573,0.994594560101114
"56","SW2-0862",0.269086026580224,0.701165375873292
"57","SW2-0891",0.58499611312714,1.77729784319436
"58","SW2-0892",0.74682694885984,1.63549287072351
"59","SW2-0893",0.180500037280824,1.96032837012932
"60","SW2-0894",0.326124716849849,1.27030366220318
"61","SW2-0895",0.225565627617843,0.889515140289898
"62","SW2-0896",0.143138038431825,0.42419667585821
"63","SW2-0897",0.479962177474371,1.59335894479784
"64","SW2-0914",0.514489438066951,1.12329843645752
"65","SW2-0915",0.589868922208064,1.69036595473175
"66","SW2-0916",0.495371274918181,1.21363488672469
"67","SW2-0917",0.738891898579691,1.64055478914855
"68","SW2-0918",0.768151943918269,2.38987761645111
"69","SW2-0919",0.581116343049632,1.13325487604554
"70","SW2-0920",0.676138494271909,1.89579433916081
"71","SW2-0921",0.54308150550173,1.45128279852249
"72","SW2-0922",0.618149381033642,1.25586168923605
"73","SW2-0925",0.382870574834421,0.820608485064165
"74","SW2-0926",0.254644164517152,0.615076202807408
"75","SW2-0927",0.8898101005844,1.41862110718157
"76","SW2-0928",0.638461798348609,1.71895315977627
"77","SW2-0929",0.620730267109557,1.49789308704968
"78","SW2-0930",0.305686948123559,1.13345646070762
"79","SW2-0937",0.434692252593829,1.33882681404319
"80","SW2-0939",0.56804286088425,1.14940457384839
"81","SW2-0940",0.315731507729797,0.782782615593676
"82","SW2-0941",0.349022013666823,0.833999416032607
"83","SW2-0942",0.654052763670418,1.29700860263442
"84","SW2-0945",0.320065993089947,1.11989023472206
"85","SW2-0969",0.648239274336567,1.92988945282586
"86","SW2-0970",0.374344027022582,1.2911603969304
"87","SW2-0971",0.542373408935457,1.51927332656953
"88","SW2-0973",0.862781749600858,1.45784048971954
"89","SW2-0974",1.1951550704873,2.4266017607225
"90","SW2-0975",0.705351043391922,1.91724676427654
"91","SW2-0976",0.374146074003649,1.52900463677126
"92","SW2-0977",0.219072684191518,0.848016159769865
"93","SW2-1002",0.573630244618718,1.61968909683223
"94","SW2-1005",0.874963665060608,1.8029984253278
"95","SW2-1067",0.185181335742547,0.376952171046522
"96","SW2-1068",0.429402660869649,1.0675199269281
"97","SW2-1069",0.522205114162137,1.8167745852301
"98","SW2-1070",0.671553236067714,0.950385444642769
"99","SW2-1071",0.315281036107361,0.947989405253688
"100","SW2-1072",0.324414739831804,0.754664676643666
"101","SW2-1073",0.275109222999977,1.19501622055261
"102","SW2-1074",0.283314008444374,1.72661409737113
"103","SW2-1075",0.256033448429326,1.17878092812254
"104","SW2-1076",0.659530750190487,1.12072482637397
"105","SW2-1078",0.37752183730458,0.992051945476506
"106","SW2-1115",0.647323467701693,1.93422356922991
"107","SW2-1117",0.385257457332958,1.4342334910761
"108","SW3-0093",0.372906382792755,0.682897469257289
"109","SW3-0106",0.332644928003317,0.95755758921919
"110","SW3-0111",0.674375816410195,1.24919714595452
"111","SW3-0165",1.03936494751038,0.762122052266479
"112","SW3-0200",0.718072319812386,1.90176691262463
"113","SW3-0282",0.389570542999702,0.995985359107175
"114","SW3-0287",0.219470484341209,0.614538882130982
"115","SW3-0342",0.557006349580899,1.67288867091416
"116","SW3-0391",0.415859363676733,0.978743753560767
"117","SW3-0409",1.05796657665017,1.59736701806874
"118","SW3-0432",0.591735034327082,1.76285619674466
"119","SW3-0444",0.451619292246755,1.31833830768934
"120","SW3-0570",0.652510105047829,1.38014081042784
"121","SW3-0604",0.847388635017213,1.49249330136158
"122","SW3-0625",NA,NA
"123","SW3-0642",0.146779615171582,0.359259480849746
"124","SW3-0643",0.740777562706354,0.837060400400663
"125","SW3-0692",0.317891366969856,0.707542854506526
"126","SW3-0700",0.394984837307199,0.946806807208693
"127","SW3-0720",0.263627472239495,0.667019583133137
"128","SW3-0722",0.344926523171391,1.0281990531586
"129","SW3-0723",0.593895185873231,1.54079570888644
"130","SW3-0740",0.51382055704665,1.20376668527163
"131","SW3-0743",0.0753751143445158,0.443371174715145
"132","SW3-0824",0.624491630586387,1.0260725725857
"133","SW3-0828",0.490940607740241,0.302386972364094
"134","SW3-0832",0.471496968657102,0.78686241368753
"135","SW3-0873",0.643296648479799,1.96812188860623
"136","SW3-0875",0.186503334325548,0.477179529375203
"137","SW3-0960",0.417766140245284,1.46164907243263
"138","SW3-1080",0.35275228501239,0.995520317579226
"139","SW3-1131",0.397212274351071,1.37872588278582
"140","SW3-1172",0.230613485649661,0.590706224233654
"141","SW3-1229",0.184611300542286,0.614731783432595
"142","SW3-1236",0.205856467413384,0.954207623723712
"143","SW3-1260",0.218685825207652,0.828612437467346
"144","SW3-1277",0.419626581602087,0.778747952307671
"145","SW3-1285",0.326667511897956,0.350534419790985
"146","SW3-1315",0.656615928097689,1.43124521303023
"147","SW3-1317",0.411010242016062,0.980722277995273
"148","SW3-1327",0.169420297105574,0.735827824127643
"149","SW3-1340",0.630967257841087,1.68540286356327
"150","SW3-1354",0.107902185022866,0.471654739446003
"151","SW3-1378",0.66569554246497,1.80390810792899
"152","SW3-1395",0.328911755838939,1.06310180636645
"153","SW3-1406",0.520542850802689,2.0853128125685
"154","SW3-1407",0.134950479667172,0.417572786290601
"155","SW3-1411",0.0740158017835615,0.309464504963753
"156","SW3-1453",0.463069449991434,0.95720620059462
"157","SW3-1459",0.448762167178756,1.32043799778442
"158","SW3-1462",0.683140562723559,1.4982994743866
"159","SW3-1468",0.592261943761834,0.440830278934914
"160","SW3-1469",NA,NA
"161","SW3-1472",0.196958363155006,0.905226421511561
"162","SW3-1502",NA,NA
"163","SW3-1512",0.425249673528622,0.671104957062953
"164","SW3-1549",0.483163097539698,1.06834538603376
"165","SW3-1555",0.358180130045652,0.922007890018104
"166","SW3-1580",0.24164751167662,1.10855935988455
"167","SW3-1590",0.266411496396584,0.602887625634943
"168","SW3-1598",0.833221047123584,2.04003336848606
"169","SW3-2408",0.328569028378217,3.20035712118843
"170","SW3-2802",0.289086461509501,0.896546841207568
"171","SW3-3649",0.61807843171059,1.96742885377839
"172","SW3-4016",0.702359498708355,1.32985740046412
"173","SW3-4071",0.216870209729554,0.92386950980778
"174","SW3-4263",0.414716049833955,0.617190340833306
"175","SW3-4558",0.332268849403685,0.809902299669468
"176","SW3-4676",0.973389314940057,3.5074527032373
"177","SW3-4696",0.523427863002579,1.32743424950592
"178","SW3-5085",0.658372169245257,1.5320059354286
"179","SW3-5131",0.591534342204678,0.7438058639859
"180","SW3-5172",0.42156528882888,1.63164573827305
"181","SW3-5194",0.644297223773723,1.83169281540186
"182","SW3-5279",0.727629220322487,1.9454292367492
"183","SW3-5299",NA,NA
"184","SW3-5639",0.44248662112308,1.27566185738145
"185","SW3-5652",0.480744678341285,1.36673440676552
"186","SW3-5671",0.369372109661487,1.11139836965202
"187","SW3-5673",0.413785680753451,1.22012576303219
"188","SW3-5675",0.377400233576006,0.765982619038683
"189","SW3-5676",0.725020561346276,1.37517895617087
"190","SW3-5677",0.256337614780032,0.788298925961717
"191","SW3-5678",0.300588181082726,1.10652313844521
"192","SW3-5679",0.496383539467491,1.31504427244381
"193","SW3-5681",0.620380328311283,1.44359398514662
"194","SW3-5683",0.856569549325937,1.88717916932443
"195","SW3-5685",0.267118884500414,0.890102285743971
"196","SW3-5710",0.0921139218987387,0.822969341145369
"197","SW3-5712",0.409371408837642,1.31264030227308
"198","SW3-5739",0.667724323867251,1.43914574645769
"199","SW3-5740",0.172005279802572,0.297879354872132
"200","SW3-5741",0.232553396410564,0.5736723954142
"201","SW3-5747",0.44726804794103,1.01826962154833
"202","SW3-5748",0.502217520545834,0.972505472115999
"203","SW3-5749",0.381740957744264,1.4490636447295
"204","SW3-5750",0.649228857809836,1.18461958048137
"205","SW3-5751",0.239513358786045,0.849884526751627
"206","SW3-5752",0.270168089848031,0.74843200628461
"207","SW3-5753",0.443966555112978,1.21181680816841
"208","SW3-5754",0.406330724501354,0.896486475733638
"209","SW3-5755",0.353380892193084,0.976235321788354
"210","SW3-5756",0.626443425455597,2.70337791767379
"211","SW3-5758",0.497547906734348,1.40631609097398
"212","SW3-5759",0.54380906710004,2.64404065949729
"213","SW3-5761",0.693050725762838,1.8335858245671
