"lakeid","d1","d2","dm","area","fractionalarea","cumsumarea","cumsumfraction","intervals.string","oneminusZdmdivZmaxdm"
"SW1-0344",5,6,5.5,150368.719638232,0.0423793450198792,1021268.25446147,0.287830340098662,"5-6",0.56
"SW1-0344",6,7,6.5,440793.609312318,0.124231585508925,870899.534823242,0.245450995078783,"6-7",0.48
"SW1-0344",7,8,7.5,166514.137949936,0.0469297079861144,430105.925510924,0.121219409569858,"7-8",0.4
"SW1-0344",8,9,8.5,84439.1307571961,0.0237980017662402,263591.787560987,0.0742897015837433,"8-9",0.32
"SW1-0344",9,10,9.5,66248.7786103644,0.0186713024665563,179152.656803791,0.0504916998175031,"9-10",0.24
"SW1-0344",10,11,10.5,75895.1580565126,0.0213900011674864,112903.878193427,0.0318203973509468,"10-11",0.16
"SW1-0344",11,12,11.5,31984.1685161075,0.00901429576562974,37008.7201369143,0.0104303961834604,"11-12",0.08
"SW1-0344",12,13,12.5,5024.5516208068,0.00141610041783068,5024.5516208068,0.00141610041783068,"12-13",0
"SW1-0345",0,2.5,1.25,1311660.45595027,0.40935558538581,3204208.03520746,1,"0-2.5",0.857142857142857
"SW1-0345",2.5,5,3.75,1302358.11326019,0.406452420988285,1892547.57925719,0.59064441461419,"2.5-5",0.571428571428571
"SW1-0345",5,7.5,6.25,395651.231091654,0.12347863395394,590189.465997004,0.184191993625904,"5-7.5",0.285714285714286
"SW1-0345",7.5,10,8.75,194538.234905349,0.0607133596719646,194538.234905349,0.0607133596719646,"7.5-10",0
"SW1-0347",0,10,5,29871624.8132438,0.55879149765683,52656223.197963,0.985010022243475,"0-10",0.918032786885246
"SW1-0347",10,20,15,11622322.6819319,0.217412180900461,22784598.3847191,0.426218524586645,"10-20",0.754098360655738
"SW1-0347",20,40,30,8591255.37314854,0.160711728495784,11162275.7027873,0.208806343686184,"20-40",0.508196721311475
"SW1-0347",40,60,50,2500476.280532,0.0467749877815276,2571020.32963871,0.0480946151904003,"40-60",0.180327868852459
"SW1-0347",60,62,61,70544.0491067149,0.00131962740887269,70544.0491067149,0.00131962740887269,"60-62",0
"SW2-0001",0,2,1,2607944.50392354,1,2607944.50392354,1,"0-2",0
"SW2-0078",0,1,0.5,15236.1452436934,0.190433808582071,80007.564608083,1,"0-1",0.931972789115646
"SW2-0078",1,3,2,19105.7653018587,0.238799485966712,64771.4193643896,0.809566191417929,"1-3",0.727891156462585
"SW2-0078",3,5,4,15500.6827063447,0.193740214219427,45665.6540625309,0.570766705451217,"3-5",0.45578231292517
"SW2-0078",5,7,6,17263.4077137458,0.215772193520833,30164.9713561863,0.37702649123179,"5-7",0.183673469387755
"SW2-0078",7,7.7,7.35,12901.5636424405,0.161254297710957,12901.5636424405,0.161254297710957,"7-7.7",0
"SW2-0085",0,4,2,1075005.53366991,0.330166856797931,3255946.23305221,1,"0-4",0.900497512437811
"SW2-0085",4,8,6,850252.756051245,0.261138451065328,2180940.6993823,0.669833143202069,"4-8",0.701492537313433
"SW2-0085",8,12,10,681191.410976057,0.209214576107263,1330687.94333105,0.40869469213674,"8-12",0.502487562189055
"SW2-0085",12,16,14,450355.105092267,0.138317734033984,649496.532354996,0.199480116029478,"12-16",0.303482587064677
"SW2-0085",16,20,18,189575.681055186,0.0582244507390015,199141.427262728,0.0611623819954938,"16-20",0.104477611940299
"SW2-0085",20,20.2,20.1,9565.74620754262,0.00293793125649235,9565.74620754262,0.00293793125649235,"20-20.2",0
"SW2-0087",0,4,2,320244.061203132,0.527137574499474,607515.147269114,1,"0-4",0.938931297709924
"SW2-0087",4,8,6,88334.6120759096,0.14540314339978,287271.086065982,0.472862425500526,"4-8",0.816793893129771
"SW2-0087",8,12,10,57955.6381186322,0.0953978487271516,198936.473990073,0.327459282100745,"8-12",0.694656488549618
"SW2-0087",12,16,14,72627.847753455,0.119549031954067,140980.835871441,0.232061433373594,"12-16",0.572519083969466
"SW2-0087",16,20,18,31938.1951660662,0.0525718499524398,68352.9881179855,0.112512401419527,"16-20",0.450381679389313
"SW2-0087",20,24,22,15901.8268994212,0.0261751941015836,36414.7929519193,0.059940551467087,"20-24",0.32824427480916
"SW2-0087",24,28,26,11370.6990605239,0.0187167334207832,20512.9660524981,0.0337653573655034,"24-28",0.206106870229008
"SW2-0087",28,32,30,6868.73908480407,0.0113062844863708,9142.26699197422,0.0150486239447202,"28-32",0.083969465648855
"SW2-0087",32,33.5,32.75,2273.52790717015,0.0037423394583494,2273.52790717015,0.0037423394583494,"32-33.5",0
"SW2-0099",0,4,2,897619.846704098,0.511548389337635,1729985.20796013,0.985908622630613,"0-4",0.904534606205251
"SW2-0099",4,8,6,421888.81385765,0.240432009163886,832365.361256035,0.474360233292978,"4-8",0.713603818615752
"SW2-0099",8,12,10,189055.341341881,0.107741551965703,410476.547398385,0.233928224129092,"8-12",0.522673031026253
"SW2-0099",12,16,14,100864.14686569,0.0574818973316075,221421.206056504,0.126186672163389,"12-16",0.331742243436754
"SW2-0099",16,20,18,98538.2554420346,0.0561563851831031,120557.059190815,0.0687047748317814,"16-20",0.140811455847255
"SW2-0099",20,21.9,20.95,22018.8037487801,0.0125483896486783,22018.8037487801,0.0125483896486783,"20-21.9",0
"SW2-0109",0,1,0.5,140931.533821982,0.255385856001248,551837.662541864,1,"0-1",0.876543209876543
"SW2-0109",1,2,1.5,119371.738094631,0.216316765232701,410906.128719882,0.744614143998752,"1-2",0.62962962962963
"SW2-0109",2,3,2.5,126674.591141318,0.229550463369665,291534.390625251,0.528297378766051,"2-3",0.382716049382716
"SW2-0109",3,4,3.5,145620.61568122,0.263883068456156,164859.799483934,0.298746915396386,"3-4",0.135802469135802
"SW2-0109",4,4.1,4.05,19239.183802714,0.0348638469402302,19239.183802714,0.0348638469402302,"4-4.1",0
"SW2-0122",0,1,0.5,131419.413370925,0.249652759561687,526408.815194582,1,"0-1",0.888888888888889
"SW2-0122",1,2,1.5,155673.708931852,0.295727777420119,394989.401823657,0.750347240438313,"1-2",0.666666666666667
"SW2-0122",2,3,2.5,183082.466556191,0.347795214045791,239315.692891805,0.454619463018195,"2-3",0.444444444444444
"SW2-0122",3,4,3.5,53593.8381034731,0.101810297541584,56233.2263356141,0.106824248972404,"3-4",0.222222222222222
"SW2-0122",4,5,4.5,2639.38823214099,0.00501395143081973,2639.38823214099,0.00501395143081973,"4-5",0
"SW2-0129",0,2,1,345794.338606381,0.260444960280717,1327706.00833923,1,"0-2",0.929577464788732
"SW2-0129",2,4,3,244404.969677478,0.184080638441331,981911.669732854,0.739555039719283,"2-4",0.788732394366197
"SW2-0129",4,6,5,215875.365558218,0.162592745835538,737506.700055376,0.555474401277952,"4-6",0.647887323943662
"SW2-0129",6,8,7,171244.397356894,0.128977647371721,521631.334497158,0.392881655442414,"6-8",0.507042253521127
"SW2-0129",8,10,9,110514.672787506,0.0832373071247482,350386.937140264,0.263904008070692,"8-10",0.366197183098592
"SW2-0129",10,12,11,115096.331892761,0.0866881155691463,239872.264352758,0.180666700945944,"10-12",0.225352112676056
"SW2-0129",12,14,13,87100.6905427414,0.065602392393849,124775.932459996,0.0939785853767979,"12-14",0.0845070422535211
"SW2-0129",14,14.4,14.2,37675.2419172549,0.0283761929829489,37675.2419172549,0.0283761929829489,"14-14.4",0
"SW2-0132",0,4,2,1430532.69990238,0.203430275874595,6789191.31552776,0.965463468522927,"0-4",0.878787878787879
"SW2-0132",0,8,4,154675.087106885,0.0219957192472621,5358658.61562538,0.762033192648332,"0-8",0.757575757575758
"SW2-0132",4,8,6,1526418.69224737,0.217065835464796,5203983.5285185,0.74003747340107,"4-8",0.636363636363636
"SW2-0132",8,12,10,2195529.92652036,0.312217440869017,3677564.83627113,0.522971637936273,"8-12",0.393939393939394
"SW2-0132",12,14,13,972019.534673535,0.138226971049055,1482034.90975077,0.210754197067256,"12-14",0.212121212121212
"SW2-0132",14,16,15,432488.053364637,0.0615023788092636,510015.375077236,0.0725272260182011,"14-16",0.0909090909090909
"SW2-0132",16,17,16.5,77527.3217125993,0.0110248472089375,77527.3217125993,0.0110248472089375,"16-17",0
"SW2-0139",0,1,0.5,40769353.1677318,0.871441181434367,46783826.6498108,1,"0-1",0.655172413793103
"SW2-0139",1,1.9,1.45,6014473.48207903,0.128558818565633,6014473.48207903,0.128558818565633,"1-1.9",0
