"","year","month","yearmonth","X23386","X10127","X10926","X14367","X40322","X31047","X11292","X806","X50879","X14534","X11078","X40844","X69","X2456","X64193","X23328","X34660","X1651","X2474","X1373","X22548","X2430","X11373","X64278","X1935","X13194","X36727","X36780","X1545","X28197","X716","X15100","X31186","X11095","X22101","X26267","X48048","X21049","X1094","X14277","X5269","X21797","X64217","X45724","X5961","X2437","X1174","X1431","X36436","X5742","X9534","X7272","X13592","X64713","X64799","X331","X11592","X63664","X15177","X21438","X10305","X11147","X21186","X3555","X26511","X1001","X64684","X5828","X9219","X282","X281","X368","X3838","X5844","X3238","X35326","X5114","X3259"
"1957-01","1957","01","1957-01",178.489414575866,118.873548387097,91.4543548387097,188.330725806452,245.360205278592,130.875322580645,22.921935483871,148.464337860781,116.26701188455,77.2045161290323,75.556814516129,120.395698924731,98.8260752688172,0,30.3267741935484,200.043225806452,200.150368663594,123.038284457478,150.344548387097,129.72688172043,100.788149405773,140.982078853047,71.5408602150538,71.3395161290323,77.3919139784946,98.7748387096774,122.014193548387,100.531572580645,11.6339426523297,57.0691397849462,214.728290322581,78.3156451612903,34.6883064516129,83.969211469534,28.7599193548387,115.39935483871,41.3504301075269,97.3713978494624,90.5277016129032,82.0508602150538,210.60311827957,27.7279404466501,206.64064516129,104.118602150538,219.838924731183,230.766370967742,174.966720430108,53.2514838709677,149.796451612903,217.356290322581,20.8670967741935,212.37564516129,122.455120967742,227.705806451613,221.820564516129,26.1188888888889,17.0275806451613,202.98064516129,84.2086314760508,13.483064516129,142.731774193548,61.8758387096774,20.5429032258065,44.321935483871,196.467649769585,189.756989247312,154.212056451613,67.2138709677419,149.284516129032,242.379935483871,206.91975422427,189.528879928315,232.22114516129,58.2297311827957,137.817419354839,262.659096774194,184.919193548387,127.38564516129
"1957-02","1957","02","1957-02",177.581111111111,88.0366071428571,75.29,203.165714285714,247.186396103896,125.632857142857,30.1892857142857,143.907218045113,167.262763157895,139.779081632653,58.9518303571429,122.657023809524,86.7322619047619,0,20.0952380952381,209.556785714286,165.237820699708,95.3793668831169,164.146589285714,123.679196428571,81.5246428571429,105.525595238095,66.6898809523809,48.1466071428571,81.1042857142857,205.17125,125.894821428571,107.5634375,16.9127777777778,64.275,211.379142857143,180.461011904762,50.3313392857143,71.8618650793651,29.0634821428571,98.9421428571429,54.2204166666667,84.8525,156.786294642857,193.537857142857,238.979166666667,28.9568956043956,221.115357142857,115.202380952381,245.864761904762,266.230267857143,175.992619047619,56.4593571428571,134.415714285714,238.99375,38.5471428571429,276.378571428571,197.831272321429,248.582857142857,253.986964285714,10.8080952380952,4.7353373015873,274.03375,180.725638528139,21.1453571428571,138.63625,45.0472857142857,14.3235714285714,14.3461428571429,189.965102040816,215.295416666667,125.2621875,29.3966071428571,134.451944444444,224.872928571429,236.610901360544,216.228452380952,265.887517857143,24.3829761904762,171.012142857143,299.801428571429,200.122857142857,163.720892857143
"1957-03","1957","03","1957-03",199.610238948626,119.76,114.836774193548,256.905403225806,290.60724340176,148.442258064516,53.108064516129,147.194736842105,211.30921901528,166.977557603687,97.1208064516129,164.801290322581,85.2429032258065,0,25.274623655914,241.240967741935,147.68978275181,90.6483284457478,173.706177419355,178.196075268817,124.29025466893,110.178960573477,111.298064516129,63.2822580645161,102.200967741935,200.986290322581,165.425322580645,146.605241935484,19.9960215053763,101.101075268817,210.510387096774,252.676505376344,59.1204032258064,122.690286738351,49.7378225806452,150.264516129032,74.9626344086022,138.858279569892,156.679637096774,246.850860215054,234.175376344086,50.8509429280397,237.606129032258,112.87688172043,304.255698924731,274.312540322581,224.988172043011,111.857677419355,154.420774193548,282.781935483871,55.726935483871,332.954112903226,267.604637096774,258.788709677419,260.270967741935,88.4006093189964,13.4066308243728,275.107580645161,247.605992179863,26.6667741935484,189.176612903226,87.4200322580645,27.72,91.8627096774194,227.091152073733,254.77252688172,145.788346774194,69.055,176.134086021505,235.854838709677,271.036697388633,245.540940860215,308.133806451613,73.915752688172,210.831774193548,333.179741935484,244.213225806452,204.805161290323
"1957-04","1957","04","1957-04",160.71037037037,64.9198333333333,58.346,212.4205,258.810606060606,93.5758333333333,14.049,105.125122807018,193.861438596491,151.180380952381,45.1955416666667,134.756444444444,45.0358055555556,0,59.3158888888889,194.487,102.060557823129,81.8240454545455,90.45265,128.376861111111,86.7976315789474,75.1836666666667,53.426,93.3395,53.1910888888889,138.695666666667,125.4585,85.9645833333333,0,34.7357777777778,168.014933333333,211.900722222222,23.3399166666667,71.4614814814815,6.67075,109.233666666667,63.5052222222222,95.0616666666667,109.446083333333,193.637111111111,178.340333333333,15.1942051282051,110.186333333333,118.803888888889,245.386666666667,204.463458333333,183.626944444444,56.1901333333333,119.633333333333,227.698,8.47766666666667,272.170583333333,251.169666666667,193.833,130.636083333333,15.5787407407407,2.02398148148148,150.280333333333,206.793212121212,0.026,138.485,31.5736,1.068,24.5782,180.611761904762,231.794222222222,97.0125416666667,7.54,126.052740740741,192.4836,224.014507936508,195.800398148148,265.495233333333,8.72422222222222,158.677166666667,290.698,199.156666666667,153.778166666667
"1957-05","1957","05","1957-05",92.649247311828,2.68645161290323,1.50322580645161,117.455564516129,170.121788856305,33.2761290322581,0,71.6807300509338,123.558013582343,115.622073732719,0.343024193548387,36.2255913978495,24.7592741935484,5.30096774193548,9.26225806451613,123.331612903226,52.2054904542462,61.0128005865103,21.046935483871,41.8646774193548,29.9773514431239,8.3405376344086,0.23010752688172,14.7361290322581,17.1796559139785,67.4059677419355,30.1132258064516,11.189314516129,0,0.568924731182796,85.2440967741936,113.262956989247,2.54653225806452,4.54082437275986,0,47.8238709677419,24.9153225806452,17.0184946236559,70.0715322580645,106.306989247312,84.0589247311828,0,21.8864516129032,73.9587096774193,145.449784946237,62.4654838709677,98.0756989247312,1.34567741935484,42.1448387096774,129.33935483871,0,173.947419354839,193.547641129032,81.5067741935484,14.2551612903226,0,0,36.1322580645161,119.336598240469,0,47.6054838709677,0,0,0,109.775852534562,153.662365591398,17.3363709677419,0,35.4987455197133,91.0393548387097,96.9178801843318,46.5633870967742,162.753016129032,0,22.8577419354839,198.380838709677,103.478548387097,4.61806451612903
"1957-06","1957","06","1957-06",14.6867777777778,0,0,19.3644166666667,61.5510606060606,0,0,20.8782807017544,30.2181228070175,50.0670476190476,0,0,0,0,0,28.0986666666667,16.2748095238095,6.21475757575758,0,0.623861111111111,0.534701754385965,0,0,0,0.1952,1.9115,0.0845,0,0,0,7.02593333333333,19.1584444444444,0,0,0,0,2.78566666666667,0,11.700625,18.2205555555556,4.29033333333333,0,0,2.67188888888889,23.1094444444444,0.0797916666666667,11.8735555555556,0,0.943866666666667,19.668,0,53.4185833333333,95.6906875,3.456,0,0,0,0,27.1576060606061,0,0.0916666666666667,0,0,0,22.0799523809524,50.5428333333333,0,0,0,4.90526666666667,0,0,11.3004666666667,0,0,63.5444,4.22933333333333,0
"1957-07","1957","07","1957-07",0,0,0,0,1.43495601173021,0,0,0.802835314091681,0.00726655348047538,4.27023041474654,0,0,0,0,0,0,1.0218301514154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6494153225806,0,0,0,0,0,0.353910068426197,0,0,0,0,0,0,0.0516666666666667,0,0,0,0,0,0,0,0,0,0,0,0
"1957-08","1957","08","1957-08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244107965766952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1957-09","1957","09","1957-09",6.63162962962963,0,0,1.85008333333333,0.318545454545455,0.00433333333333333,0,3.23741228070175,3.84854385964912,13.6617142857143,0,0,13.4796388888889,0,0,2.835,15.8226258503401,8.37804545454545,0,1.48022222222222,1.61729824561404,0,0,0,0.0665333333333333,7.305,0,0,0,0,1.31076666666667,2.5805,0,0,0,0.496666666666667,0,0.350555555555556,14.0015,5.68722222222222,1.83655555555556,0,0,8.286,1.491,0,3.42588888888889,0,0.5324,0.0595,0,1.87291666666667,13.0384166666667,0,0,0,0,0.5445,6.35349494949495,0,0.790166666666667,0,0,0,0.509619047619048,7.59233333333333,0,0,0,0.626333333333333,0.556634920634921,0.456287037037037,1.48393333333333,0,0,2.1534,0,0
"1957-10","1957","10","1957-10",18.8601792114695,0,0,7.29508064516129,3.26390029325513,0,0,37.1763497453311,2.89404074702886,34.0788940092166,0,0,35.7173924731183,3.59096774193548,4.4510752688172,6.62451612903226,58.6939368005267,21.4741642228739,7.68512903225806,0.663844086021505,1.99792869269949,0.899964157706093,0,8.70387096774193,0.0182795698924731,6.52467741935484,0,0,0,0,2.52967741935484,6.4058064516129,0,0,0,0.450967741935484,0.117903225806452,0.148387096774194,20.3629838709677,7.15634408602151,3.76451612903226,0,8.65838709677419,18.1520430107527,1.78440860215054,18.2882258064516,4.48102150537634,0,0.298,0.63241935483871,0,3.50475806451613,49.2778629032258,10.6374193548387,13.7198387096774,0,0,20.6540322580645,10.6084946236559,0,0.220483870967742,0,0,0,2.93248847926267,4.1789247311828,8.87528225806452,0,0.29594982078853,3.07290322580645,0.498356374807988,0.0709677419354839,2.75543548387097,0,0,33.1003870967742,0,0
