"","year","month","yearmonth","X23386","X10127","X10926","X14367","X40322","X31047","X11292","X806","X50879","X14534","X11078","X40844","X69","X2456","X64193","X23328","X34660","X1651","X2474","X1373","X22548","X2430","X11373","X64278","X1935","X13194","X36727","X36780","X1545","X28197","X716","X15100","X31186","X11095","X22101","X26267","X48048","X21049","X1094","X14277","X5269","X21797","X64217","X45724","X5961","X2437","X1174","X1431","X36436","X5742","X9534","X7272","X13592","X64713","X64799","X331","X11592","X63664","X15177","X21438","X10305","X11147","X21186","X3555","X26511","X1001","X64684","X5828","X9219","X282","X281","X368","X3838","X5844","X3238","X35326","X5114","X3259"
"1957-01","1957","01","1957-01",1414.45855436081,230.683225806452,105.20435483871,518.450161290323,205.12651026393,457.90564516129,20.7393548387097,592.245848896435,319.164057724958,1291.40912442396,55.1652822580645,69.1881720430108,757.977607526882,77.4108064516129,98.1148387096774,1195.50064516129,657.423818301514,908.228651026393,109.915758064516,518.138602150538,528.801154499151,227.962759856631,89.3458064516129,108.581129032258,155.397956989247,561.453064516129,76.0325806451613,37.5870564516129,0.0504659498207885,93.9835483870968,239.178516129032,678.31752688172,27.9035483870968,167.906415770609,127.393548387097,670.252258064516,97.0188709677419,391.705376344086,683.526209677419,692.163870967742,380.613010752688,24.206476426799,112.428709677419,377.600537634409,303.658172043011,136.398870967742,912.819301075269,61.0373548387097,91.4981290322581,442.946935483871,1.56677419354839,404.328709677419,1393.84588709677,117.403225806452,113.459435483871,6.64336917562724,0.932974910394265,124.604838709677,909.323411534702,0.0498387096774194,615.781451612903,17.5043870967742,14.523064516129,10.0958709677419,1091.01188940092,231.898387096774,101.236129032258,7.6691935483871,478.323978494624,249.964193548387,134.771228878648,68.9169892473118,194.793064516129,7.16747311827957,75.0225806451613,169.673419354839,266.057258064516,62.5691935483871
"1957-02","1957","02","1957-02",2224.8541005291,225.316607142857,117.99375,586.384553571429,375.256266233766,903.398571428571,29.1660714285714,1020.76051691729,435.452011278195,1860.11005102041,60.2447321428571,89.8911904761905,924.406071428571,97.9123214285714,132.873452380952,1877.21071428571,961.270087463557,1558.87225649351,147.047125,751.290148809524,819.645187969925,328.238928571429,102.586666666667,147.1325,272.009738095238,726.636428571429,131.417678571429,63.8185714285714,16.2603968253968,140.999047619048,446.169928571429,879.228511904762,31.3770535714286,236.321984126984,123.035803571429,932.506071428571,151.719464285714,695.003095238095,941.691785714286,883.997619047619,440.461904761905,39.843543956044,151.715357142857,592.866547619048,342.982023809524,171.428571428571,1218.42577380952,122.937428571429,137.633,512.085178571429,20.6251785714286,448.066785714286,2181.52375,160.966785714286,154.084464285714,14.6721825396825,12.6575396825397,158.729464285714,1244.47198051948,23.0428571428571,875.769464285714,30.4867142857143,24.4416071428571,16.2488571428571,1770.67413265306,359.775714285714,138.074419642857,10.3221428571429,575.324880952381,281.927285714286,168.058010204082,83.899126984127,238.330232142857,12.8201785714286,107.406964285714,198.688214285714,315.922678571429,89.1240178571429
"1957-03","1957","03","1957-03",2456.05240143369,275.140483870968,182.724193548387,652.832016129032,437.36715542522,993.704677419355,80.5051612903226,1119.42552631579,465.113344651952,2039.35055299539,118.900967741935,117.154731182796,1019.01217741935,108.665564516129,157.515483870968,2085.01935483871,1093.87247531271,1695.55061583578,172.178032258065,854.888037634409,962.112156196944,387.478100358423,141.223333333333,175.255322580645,292.570043010753,829.332903225806,172.029032258065,79.0598387096774,16.3444444444444,159.499784946237,497.903290322581,972.504462365591,65.3310483870968,307.579534050179,175.963951612903,1128.2864516129,202.626129032258,826.094516129032,1087.1152016129,982.830215053763,486.97064516129,106.94017369727,178.891935483871,674.065376344086,372.855268817204,209.281209677419,1353.80688172043,217.590516129032,207.923612903226,570.124838709677,48.7233870967742,475.60185483871,2416.22955645161,191.225161290323,181.700725806452,30.3583154121864,38.7850896057348,189.423225806452,1374.9857771261,36.9209677419355,993.197258064516,90.5642258064516,57.1674193548387,36.2061935483871,1963.48479262673,402.228010752688,163.266451612903,19.1201612903226,649.033727598566,299.919225806452,189.266712749616,97.4000268817204,264.673370967742,25.3436021505376,127.715161290323,229.12335483871,344.861612903226,105.470564516129
"1957-04","1957","04","1957-04",2663.56771604938,212.041666666667,119.3315,700.975333333333,484.738090909091,1004.60433333333,17.296,1304.0108245614,519.950578947368,2193.752,47.159625,74.6101111111111,1090.58108333333,98.5933333333333,148.787,2243.13366666667,1275.24440136054,1858.02548484848,173.254016666667,893.154361111111,1057.03366666667,464.695518518518,41.073,174.986833333333,265.574133333333,898.5505,145.207166666667,56.9632916666667,0.827259259259259,99.7261111111111,537.823633333333,1039.58227777778,57.671,218.866703703704,128.43975,1234.02766666667,199.620777777778,864.485333333333,1175.64479166667,1046.39155555556,502.956555555556,36.4177948717949,181.721333333333,868.511666666667,360.999444444444,233.150875,1467.15372222222,154.1362,237.907733333333,556.645833333333,4.907,489.58375,2637.46464583333,198.744666666667,190.636583333333,2.74992592592593,1.40561111111111,202.8325,1480.97324242424,1.71216666666667,1065.23033333333,25.7746,6.9945,4.21573333333333,2188.34733333333,446.789388888889,161.320708333333,0.4585,651.984074074074,308.499466666667,156.683285714286,46.5162592592593,265.252133333333,1.02505555555556,51.9671666666667,274.028466666667,261.115333333333,32.3994166666667
"1957-05","1957","05","1957-05",2652.4917921147,32.0238709677419,9.73693548387097,421.744596774194,354.936920821114,1001.46580645161,0.330967741935484,1403.29738539898,442.135246179966,2259.56760368664,3.58709677419355,16.9458064516129,1098.71782258065,17.0379838709677,29.7391397849462,2205.03967741936,1439.91636603028,1956.06221407625,67.0462580645161,666.819139784946,1017.48307300509,424.301326164875,2.19086021505376,59.9029032258065,255.860021505376,879.641290322581,53.6717741935484,12.6760887096774,0,48.8376344086021,449.244516129032,896.043655913978,51.358064516129,68.7413978494624,45.9445967741935,1225.00612903226,180.074301075269,703.823655913979,1193.22084677419,969.099784946237,283.096559139785,1.86523573200993,72.93,845.05311827957,157.887741935484,172.800887096774,1326.77758064516,25.2069677419355,176.704064516129,217.107903225806,0,307.508387096774,2736.63393145161,90.4674193548387,95.1560483870968,0,0.000663082437275986,125.346612903226,1428.78335288368,0,834.547903225806,0.00612903225806452,0.0279032258064516,0,2227.23912442396,321.903817204301,51.3242741935484,0,346.855053763441,164.048193548387,23.2964362519201,0.903530465949821,102.828161290323,0,0.441290322580645,217.943161290323,71.8004838709677,0.0587903225806452
"1957-06","1957","06","1957-06",2162.66091358025,0.0861666666666667,0.006,31.85425,85.6562424242424,577.840833333333,0,1277.15025438596,245.158087719298,1804.97823809524,0.129416666666667,0.881666666666667,645.938777777778,0.00491666666666667,0.577555555555556,1684.03766666667,1420.87570068027,1553.29059090909,4.08728333333333,219.555305555556,694.594333333333,200.672407407407,0.0616666666666667,2.164,113.9986,433.796666666667,2.88366666666667,0.37725,0,3.48044444444444,143.1334,252.597333333333,8.07883333333333,7.27411111111111,5.20825,769.917333333333,119.961277777778,284.655,779.543458333333,397.692,11.6894444444444,0.0159230769230769,3.43733333333333,512.280111111111,0.736333333333333,26.2860416666667,728.094222222222,0.763466666666667,35.6182,4.9095,0,10.301,2493.52929166667,3.75966666666667,5.30975,0,0,13.3491666666667,838.485818181818,0,319.891333333333,0,0,0,1701.259,62.5338333333333,1.51695833333333,0,39.8149259259259,0.6642,0,0,0.105416666666667,0,0,23.7492666666667,0.138833333333333,0
"1957-07","1957","07","1957-07",1432.45015531661,0,0,0.264677419354839,7.31325513196481,206.200322580645,0,799.241069609508,68.0034465195246,1048.10198156682,0,0,205.720537634409,0,0,964.172903225806,1102.58834101382,955.126612903226,0.00345161290322581,41.2081451612903,362.019439728353,33.2175627240143,0,0,33.5796559139785,104.703387096774,0.0296774193548387,0,0,0.0163440860215054,13.5399677419355,16.0211290322581,0.896854838709677,0.545125448028674,0.18491935483871,297.606774193548,51.8347849462366,62.4691397849462,274.574959677419,85.422688172043,0.271720430107527,0,0,124.984193548387,0,0.244354838709677,235.217849462366,0.00929032258064516,3.18348387096774,0.114193548387097,0,0,1827.25098790323,0,0,0,0,0.0374193548387097,335.590830889541,0,61.2651612903226,0,0,0,1021.67299539171,2.82086021505376,0,0,2.79405017921147,0,0,0,0,0,0,0.776709677419355,0,0
"1957-08","1957","08","1957-08",796.1056869773,0,0,0.0101612903225806,0.0329618768328446,45.4666129032258,0,348.524015280136,5.13183361629881,472.892211981567,0,0,36.517876344086,0,0,410.203225806452,659.36551678736,477.207316715543,0,6.79182795698925,145.015653650255,1.20569892473118,0,0,5.79494623655914,13.5116129032258,0,0,0,0,0.123612903225806,0.655698924731183,0.0519354838709677,0,0,62.8109677419355,7.29220430107527,10.040752688172,46.2429032258065,14.2769892473118,0,0,0,10.6294623655914,0,0,49.7071505376344,0,0.000387096774193548,0,0,0,1077.10407258065,0,0,0,0,0,110.807653958944,0,9.91258064516129,0,0,0,492.685023041475,0.0467204301075269,0,0,0.229247311827957,0,0,0,0,0,0,0,0,0
"1957-09","1957","09","1957-09",9.8118024691358,0,0,0,0.437272727272727,2.15366666666667,0,4.70655263157895,0.469894736842105,5.85633333333333,0,0,0.722638888888889,0.00075,0,0.306666666666667,17.7563197278912,11.3397121212121,0,0,1.11231578947368,0,0,0,0.400688888888889,0.042,0,0,0,0,0.1355,0.0175,0,0,0,1.17466666666667,0,0,1.80229166666667,0.0433333333333333,0,0,0,2.30688888888889,0,0.119666666666667,0,0,1.57706666666667,0,0,0,11.3360625,0,0.00125,0,0,0.00133333333333333,1.87082828282828,0,0,0,0,0,0.905333333333333,0.004,0,0,0,1.75946666666667,0,0,0.160866666666667,0,0,5.52946666666667,0,0
"1957-10","1957","10","1957-10",171.072329749104,0,0,7.99508064516129,5.62129032258064,3.09483870967742,0,255.685025466893,4.81453310696095,116.086359447005,0,0,27.9747311827957,0.3575,0.511935483870968,81.1496774193548,343.705957867018,210.991774193548,0.737129032258064,1.21733870967742,34.0003565365025,0.591756272401434,0,0.742096774193548,2.59883870967742,25.5382258064516,0.0443548387096774,0,0,0,18.0662903225806,23.4265053763441,0,0,0,28.4664516129032,1.88129032258064,0.153010752688172,41.2522580645161,24.5418279569892,8.4,0,0.796451612903226,37.0267741935484,5.97161290322581,1.17661290322581,28.1081182795699,0,1.76870967741935,0.219354838709677,0,6.23766129032258,230.8525,0.883548387096774,0.958387096774194,0,0,0.840806451612903,48.336119257087,0,0.64,0,0,0,61.6529493087558,7.00102150537634,0.662620967741935,0,0.000573476702508961,9.54129032258064,0.0553149001536098,0.00182795698924731,3.07738709677419,0,0,14.7065161290323,0.00887096774193548,0
